,symbol,date,price
1670,Value US$ per capita,Jan 1 1970,4174.555516
1671,Value US$ per capita,Jan 1 1971,4639.278656
1672,Value US$ per capita,Jan 1 1972,5200.182933
1673,Value US$ per capita,Jan 1 1973,5936.515704
1674,Value US$ per capita,Jan 1 1974,7116.075325
1675,Value US$ per capita,Jan 1 1975,7590.943525
1676,Value US$ per capita,Jan 1 1976,8945.855497
1677,Value US$ per capita,Jan 1 1977,9054.631218
1678,Value US$ per capita,Jan 1 1978,9244.540733
1679,Value US$ per capita,Jan 1 1979,10160.532883
1680,Value US$ per capita,Jan 1 1980,11305.16594
1681,Value US$ per capita,Jan 1 1981,12455.100833
1682,Value US$ per capita,Jan 1 1982,12627.727649
1683,Value US$ per capita,Jan 1 1983,13581.332992
1684,Value US$ per capita,Jan 1 1984,14019.619098
1685,Value US$ per capita,Jan 1 1985,14223.856463
1686,Value US$ per capita,Jan 1 1986,14534.979814
1687,Value US$ per capita,Jan 1 1987,16386.286601
1688,Value US$ per capita,Jan 1 1988,19002.245887
1689,Value US$ per capita,Jan 1 1989,20869.25601
1690,Value US$ per capita,Jan 1 1990,21643.421044
1691,Value US$ per capita,Jan 1 1991,21962.887693
1692,Value US$ per capita,Jan 1 1992,21058.902053
1693,Value US$ per capita,Jan 1 1993,20283.936755
1694,Value US$ per capita,Jan 1 1994,20094.016591
1695,Value US$ per capita,Jan 1 1995,20776.982005
1696,Value US$ per capita,Jan 1 1996,21407.650134
1697,Value US$ per capita,Jan 1 1997,22022.496538
1698,Value US$ per capita,Jan 1 1998,21118.52317
1699,Value US$ per capita,Jan 1 1999,22387.728127
1700,Value US$ per capita,Jan 1 2000,24348.256258
1701,Value US$ per capita,Jan 1 2001,23931.47341
1702,Value US$ per capita,Jan 1 2002,24396.641611
1703,Value US$ per capita,Jan 1 2003,28441.747474
1704,Value US$ per capita,Jan 1 2004,32269.827193
1705,Value US$ per capita,Jan 1 2005,36473.910412
1706,Value US$ per capita,Jan 1 2006,40548.742251
1707,Value US$ per capita,Jan 1 2007,44603.311975
1708,Value US$ per capita,Jan 1 2008,46581.956741
1709,Value US$ per capita,Jan 1 2009,40734.329536
1710,Value US$ per capita,Jan 1 2010,47361.115847
1711,Value US$ per capita,Jan 1 2011,51907.248759
1712,Value US$ per capita,Jan 1 2012,52364.806001
1713,Value US$ per capita,Jan 1 2013,52333.945708
1714,Value US$ per capita,Jan 1 2014,50569.680124
1715,Value US$ per capita,Jan 1 2015,43193.791806
1716,Value US$ per capita,Jan 1 2016,42004.427211
1717,Value US$ per capita,Jan 1 2017,44906.74892
1718,Value US$ per capita,Jan 1 2018,46444.396642
1719,Value US$ per capita,Jan 1 2019,46550.335507
