,symbol,date,price
10714,GDP,Jan 1 1992,965.48065
10715,GDP,Jan 1 1993,909.393361
10716,GDP,Jan 1 1994,819.196939
10717,GDP,Jan 1 1995,783.003042
10718,GDP,Jan 1 1996,802.373934
10719,GDP,Jan 1 1997,854.226911
10720,GDP,Jan 1 1998,843.603282
10721,GDP,Jan 1 1999,793.736408
10722,GDP,Jan 1 2000,758.420539
10723,GDP,Jan 1 2001,762.360018
10724,GDP,Jan 1 2002,848.490657
10725,GDP,Jan 1 2003,1010.346986
10726,GDP,Jan 1 2004,1280.921802
10727,GDP,Jan 1 2005,1593.887318
10728,GDP,Jan 1 2006,2085.802167
10729,GDP,Jan 1 2007,2622.212058
10730,GDP,Jan 1 2008,3293.887528
10731,GDP,Jan 1 2009,2998.629593
10732,GDP,Jan 1 2010,3629.898494
10733,GDP,Jan 1 2011,4563.128034
10734,GDP,Jan 1 2012,4947.326855
10735,GDP,Jan 1 2013,5455.101204
10736,GDP,Jan 1 2014,5324.547051
10737,GDP,Jan 1 2015,4626.462227
10738,GDP,Jan 1 2016,3860.790228
10739,GDP,Jan 1 2017,3938.622993
10740,GDP,Jan 1 2018,3976.564669
10741,GDP,Jan 1 2019,4161.233835
