,symbol,date,price
1870,Value US$,Jan 1 1970,989.459478
1871,Value US$,Jan 1 1971,1165.450214
1872,Value US$,Jan 1 1972,1238.229852
1873,Value US$,Jan 1 1973,1737.261437
1874,Value US$,Jan 1 1974,1657.455446
1875,Value US$,Jan 1 1975,759.160344
1876,Value US$,Jan 1 1976,1020.763399
1877,Value US$,Jan 1 1977,1362.74194
1878,Value US$,Jan 1 1978,1546.99996
1879,Value US$,Jan 1 1979,2051.985474
1880,Value US$,Jan 1 1980,2690.236431
1881,Value US$,Jan 1 1981,3180.360402
1882,Value US$,Jan 1 1982,2241.081297
1883,Value US$,Jan 1 1983,1823.321487
1884,Value US$,Jan 1 1984,1781.955334
1885,Value US$,Jan 1 1985,1548.841891
1886,Value US$,Jan 1 1986,1639.784434
1887,Value US$,Jan 1 1987,1884.934162
1888,Value US$,Jan 1 1988,2164.901568
1889,Value US$,Jan 1 1989,2429.145561
1890,Value US$,Jan 1 1990,2630.454043
1891,Value US$,Jan 1 1991,2956.730878
1892,Value US$,Jan 1 1992,3515.317719
1893,Value US$,Jan 1 1993,3672.613582
1894,Value US$,Jan 1 1994,4139.147947
1895,Value US$,Jan 1 1995,5222.152389
1896,Value US$,Jan 1 1996,5412.899333
1897,Value US$,Jan 1 1997,5836.435303
1898,Value US$,Jan 1 1998,5522.607419
1899,Value US$,Jan 1 1999,5016.838182
1900,Value US$,Jan 1 2000,5107.635856
1901,Value US$,Jan 1 2001,4605.251788
1902,Value US$,Jan 1 2002,4469.279636
1903,Value US$,Jan 1 2003,4800.372564
1904,Value US$,Jan 1 2004,6197.927797
1905,Value US$,Jan 1 2005,7598.524522
1906,Value US$,Jan 1 2006,9464.547954
1907,Value US$,Jan 1 2007,10502.354811
1908,Value US$,Jan 1 2008,10751.477974
1909,Value US$,Jan 1 2009,10208.911411
1910,Value US$,Jan 1 2010,12808.080141
1911,Value US$,Jan 1 2011,14637.229396
1912,Value US$,Jan 1 2012,15351.510781
1913,Value US$,Jan 1 2013,15842.940805
1914,Value US$,Jan 1 2014,14670.996761
1915,Value US$,Jan 1 2015,13574.171831
1916,Value US$,Jan 1 2016,13753.594437
1917,Value US$,Jan 1 2017,14999.370089
1918,Value US$,Jan 1 2018,15924.794239
1919,Value US$,Jan 1 2019,14896.453867
