,symbol,date,price
2420,Value US$,Jan 1 1990,3482.18196
2421,Value US$,Jan 1 1991,2850.53165
2422,Value US$,Jan 1 1992,2588.755815
2423,Value US$,Jan 1 1993,2764.960898
2424,Value US$,Jan 1 1994,3730.495572
2425,Value US$,Jan 1 1995,4855.703271
2426,Value US$,Jan 1 1996,5182.739722
2427,Value US$,Jan 1 1997,5263.185926
2428,Value US$,Jan 1 1998,5669.552652
2429,Value US$,Jan 1 1999,5250.908176
2430,Value US$,Jan 1 2000,4893.604408
2431,Value US$,Jan 1 2001,5258.458854
2432,Value US$,Jan 1 2002,6100.319826
2433,Value US$,Jan 1 2003,7903.290488
2434,Value US$,Jan 1 2004,9487.970617
2435,Value US$,Jan 1 2005,10366.80379
2436,Value US$,Jan 1 2006,11539.751451
2437,Value US$,Jan 1 2007,13793.094354
2438,Value US$,Jan 1 2008,16141.908402
2439,Value US$,Jan 1 2009,14419.576324
2440,Value US$,Jan 1 2010,13818.291307
2441,Value US$,Jan 1 2011,14457.027112
2442,Value US$,Jan 1 2012,13150.866319
2443,Value US$,Jan 1 2013,13575.54442
2444,Value US$,Jan 1 2014,13545.543132
2445,Value US$,Jan 1 2015,11701.417358
2446,Value US$,Jan 1 2016,12259.890052
2447,Value US$,Jan 1 2017,13225.258588
2448,Value US$,Jan 1 2018,14674.023127
2449,Value US$,Jan 1 2019,14627.294714
