,symbol,date,price
2450,Value US$,Jan 1 1970,653.418673
2451,Value US$,Jan 1 1971,779.71479
2452,Value US$,Jan 1 1972,901.356495
2453,Value US$,Jan 1 1973,1088.114521
2454,Value US$,Jan 1 1974,1223.676418
2455,Value US$,Jan 1 1975,1379.065158
2456,Value US$,Jan 1 1976,1443.284823
2457,Value US$,Jan 1 1977,1472.71192
2458,Value US$,Jan 1 1978,1835.08953
2459,Value US$,Jan 1 1979,2000.255991
2460,Value US$,Jan 1 1980,2021.699976
2461,Value US$,Jan 1 1981,2035.583235
2462,Value US$,Jan 1 1982,2107.906518
2463,Value US$,Jan 1 1983,2224.704281
2464,Value US$,Jan 1 1984,2396.325407
2465,Value US$,Jan 1 1985,2269.896904
2466,Value US$,Jan 1 1986,2378.852482
2467,Value US$,Jan 1 1987,2451.072908
2468,Value US$,Jan 1 1988,2640.888791
2469,Value US$,Jan 1 1989,2572.824479
2470,Value US$,Jan 1 1990,2703.135622
2471,Value US$,Jan 1 1991,2278.305741
2472,Value US$,Jan 1 1992,2057.078732
2473,Value US$,Jan 1 1993,2073.070004
2474,Value US$,Jan 1 1994,2624.725321
2475,Value US$,Jan 1 1995,2794.584836
2476,Value US$,Jan 1 1996,2286.893678
2477,Value US$,Jan 1 1997,2308.018066
2478,Value US$,Jan 1 1998,2331.499058
2479,Value US$,Jan 1 1999,2558.930487
2480,Value US$,Jan 1 2000,2747.134526
2481,Value US$,Jan 1 2001,2837.729061
2482,Value US$,Jan 1 2002,2999.245244
2483,Value US$,Jan 1 2003,3197.124849
2484,Value US$,Jan 1 2004,3395.747605
2485,Value US$,Jan 1 2005,3786.64383
2486,Value US$,Jan 1 2006,4683.557275
2487,Value US$,Jan 1 2007,5208.707185
2488,Value US$,Jan 1 2008,5411.271418
2489,Value US$,Jan 1 2009,5529.67036
2490,Value US$,Jan 1 2010,5730.354775
2491,Value US$,Jan 1 2011,6186.114643
2492,Value US$,Jan 1 2012,6497.319382
2493,Value US$,Jan 1 2013,6837.711074
2494,Value US$,Jan 1 2014,7133.340833
2495,Value US$,Jan 1 2015,7700.428944
2496,Value US$,Jan 1 2016,8060.799442
2497,Value US$,Jan 1 2017,8541.21444
2498,Value US$,Jan 1 2018,8821.822004
2499,Value US$,Jan 1 2019,9295.901636
