,symbol,date,price
2500,Value US$,Jan 1 2005,18017.653593
2501,Value US$,Jan 1 2006,18504.492973
2502,Value US$,Jan 1 2007,18989.073602
2503,Value US$,Jan 1 2008,20095.290498
2504,Value US$,Jan 1 2009,19737.307634
2505,Value US$,Jan 1 2010,19782.178456
2506,Value US$,Jan 1 2011,19950.100543
2507,Value US$,Jan 1 2012,20224.495235
2508,Value US$,Jan 1 2013,20074.850972
2509,Value US$,Jan 1 2014,19936.663042
2510,Value US$,Jan 1 2015,19718.297867
2511,Value US$,Jan 1 2016,19386.831301
2512,Value US$,Jan 1 2017,19238.807571
2513,Value US$,Jan 1 2018,19218.860831
2514,Value US$,Jan 1 2019,18980.00116
