,symbol,date,price
2665,Value US$,Jan 1 1970,238.491155
2666,Value US$,Jan 1 1971,259.449132
2667,Value US$,Jan 1 1972,278.68597
2668,Value US$,Jan 1 1973,345.912438
2669,Value US$,Jan 1 1974,410.629421
2670,Value US$,Jan 1 1975,426.155152
2671,Value US$,Jan 1 1976,390.393594
2672,Value US$,Jan 1 1977,485.32985
2673,Value US$,Jan 1 1978,669.349565
2674,Value US$,Jan 1 1979,637.90351
2675,Value US$,Jan 1 1980,593.289927
2676,Value US$,Jan 1 1981,511.247654
2677,Value US$,Jan 1 1982,497.408756
2678,Value US$,Jan 1 1983,411.593458
2679,Value US$,Jan 1 1984,241.53982
2680,Value US$,Jan 1 1985,251.803873
2681,Value US$,Jan 1 1986,283.324903
2682,Value US$,Jan 1 1987,235.085801
2683,Value US$,Jan 1 1988,261.495526
2684,Value US$,Jan 1 1989,428.556772
2685,Value US$,Jan 1 1990,428.426458
2686,Value US$,Jan 1 1991,395.121777
2687,Value US$,Jan 1 1992,348.46144
2688,Value US$,Jan 1 1993,437.323321
2689,Value US$,Jan 1 1994,228.693239
2690,Value US$,Jan 1 1995,215.184945
2691,Value US$,Jan 1 1996,214.125345
2692,Value US$,Jan 1 1997,214.914692
2693,Value US$,Jan 1 1998,219.692399
2694,Value US$,Jan 1 1999,190.889457
2695,Value US$,Jan 1 2000,177.096072
2696,Value US$,Jan 1 2001,172.33982
2697,Value US$,Jan 1 2002,175.009639
2698,Value US$,Jan 1 2003,173.797722
2699,Value US$,Jan 1 2004,194.040181
2700,Value US$,Jan 1 2005,218.387535
2701,Value US$,Jan 1 2006,255.432332
2702,Value US$,Jan 1 2007,286.331153
2703,Value US$,Jan 1 2008,327.564649
2704,Value US$,Jan 1 2009,298.619909
2705,Value US$,Jan 1 2010,334.021982
2706,Value US$,Jan 1 2011,387.082065
2707,Value US$,Jan 1 2012,424.600876
2708,Value US$,Jan 1 2013,457.851082
2709,Value US$,Jan 1 2014,486.78726
2710,Value US$,Jan 1 2015,497.316614
2711,Value US$,Jan 1 2016,511.968008
2712,Value US$,Jan 1 2017,462.445161
2713,Value US$,Jan 1 2018,560.807354
2714,Value US$,Jan 1 2019,545.216205
