,symbol,date,price
2765,Value US$ per capita,Jan 1 1970,446.981398
2766,Value US$ per capita,Jan 1 1971,476.191338
2767,Value US$ per capita,Jan 1 1972,541.103426
2768,Value US$ per capita,Jan 1 1973,635.730679
2769,Value US$ per capita,Jan 1 1974,743.178951
2770,Value US$ per capita,Jan 1 1975,755.483652
2771,Value US$ per capita,Jan 1 1976,813.31345
2772,Value US$ per capita,Jan 1 1977,784.769464
2773,Value US$ per capita,Jan 1 1978,775.180773
2774,Value US$ per capita,Jan 1 1979,785.543294
2775,Value US$ per capita,Jan 1 1980,839.050496
2776,Value US$ per capita,Jan 1 1981,852.685532
2777,Value US$ per capita,Jan 1 1982,867.275475
2778,Value US$ per capita,Jan 1 1983,857.260611
2779,Value US$ per capita,Jan 1 1984,840.494263
2780,Value US$ per capita,Jan 1 1985,835.052934
2781,Value US$ per capita,Jan 1 1986,845.785248
2782,Value US$ per capita,Jan 1 1987,813.076807
2783,Value US$ per capita,Jan 1 1988,805.086005
2784,Value US$ per capita,Jan 1 1989,776.571973
2785,Value US$ per capita,Jan 1 1990,773.908324
2786,Value US$ per capita,Jan 1 1991,768.358163
2787,Value US$ per capita,Jan 1 1992,783.006648
2788,Value US$ per capita,Jan 1 1993,779.575609
2789,Value US$ per capita,Jan 1 1994,820.862903
2790,Value US$ per capita,Jan 1 1995,808.440815
2791,Value US$ per capita,Jan 1 1996,771.331916
2792,Value US$ per capita,Jan 1 1997,743.202809
2793,Value US$ per capita,Jan 1 1998,731.489489
2794,Value US$ per capita,Jan 1 1999,750.130777
2795,Value US$ per capita,Jan 1 2000,761.401664
2796,Value US$ per capita,Jan 1 2001,777.011943
2797,Value US$ per capita,Jan 1 2002,789.917691
2798,Value US$ per capita,Jan 1 2003,820.428423
2799,Value US$ per capita,Jan 1 2004,860.433116
2800,Value US$ per capita,Jan 1 2005,904.729749
2801,Value US$ per capita,Jan 1 2006,967.378276
2802,Value US$ per capita,Jan 1 2007,1052.725652
2803,Value US$ per capita,Jan 1 2008,1195.804139
2804,Value US$ per capita,Jan 1 2009,1321.430567
2805,Value US$ per capita,Jan 1 2010,1480.188842
2806,Value US$ per capita,Jan 1 2011,1702.985513
2807,Value US$ per capita,Jan 1 2012,1964.194474
2808,Value US$ per capita,Jan 1 2013,2312.728803
2809,Value US$ per capita,Jan 1 2014,2466.020613
2810,Value US$ per capita,Jan 1 2015,2675.605375
2811,Value US$ per capita,Jan 1 2016,2818.376856
2812,Value US$ per capita,Jan 1 2017,2930.696963
2813,Value US$ per capita,Jan 1 2018,3048.589504
2814,Value US$ per capita,Jan 1 2019,3252.320409
