,symbol,date,price
2865,Value US$,Jan 1 1970,413.161918
2866,Value US$,Jan 1 1971,450.732867
2867,Value US$,Jan 1 1972,523.029232
2868,Value US$,Jan 1 1973,600.789422
2869,Value US$,Jan 1 1974,730.23427
2870,Value US$,Jan 1 1975,875.532548
2871,Value US$,Jan 1 1976,937.366118
2872,Value US$,Jan 1 1977,1061.633951
2873,Value US$,Jan 1 1978,1069.59766
2874,Value US$,Jan 1 1979,1213.333991
2875,Value US$,Jan 1 1980,1429.784408
2876,Value US$,Jan 1 1981,1532.128067
2877,Value US$,Jan 1 1982,1642.695518
2878,Value US$,Jan 1 1983,1740.738903
2879,Value US$,Jan 1 1984,2046.779623
2880,Value US$,Jan 1 1985,869.086331
2881,Value US$,Jan 1 1986,1030.767423
2882,Value US$,Jan 1 1987,944.911644
2883,Value US$,Jan 1 1988,845.795909
2884,Value US$,Jan 1 1989,1195.834351
2885,Value US$,Jan 1 1990,1334.888405
2886,Value US$,Jan 1 1991,1357.16787
2887,Value US$,Jan 1 1992,1544.649173
2888,Value US$,Jan 1 1993,1720.58585
2889,Value US$,Jan 1 1994,1834.723786
2890,Value US$,Jan 1 1995,2013.928441
2891,Value US$,Jan 1 1996,2147.502764
2892,Value US$,Jan 1 1997,2431.005936
2893,Value US$,Jan 1 1998,2540.933131
2894,Value US$,Jan 1 1999,2620.347702
2895,Value US$,Jan 1 2000,2828.360462
2896,Value US$,Jan 1 2001,2931.658309
2897,Value US$,Jan 1 2002,2940.379574
2898,Value US$,Jan 1 2003,2303.77295
2899,Value US$,Jan 1 2004,2477.371778
2900,Value US$,Jan 1 2005,3903.418522
2901,Value US$,Jan 1 2006,4114.753408
2902,Value US$,Jan 1 2007,4688.012438
2903,Value US$,Jan 1 2008,5038.850736
2904,Value US$,Jan 1 2009,5019.566487
2905,Value US$,Jan 1 2010,5483.125956
2906,Value US$,Jan 1 2011,5891.164781
2907,Value US$,Jan 1 2012,6107.981132
2908,Value US$,Jan 1 2013,6236.092854
2909,Value US$,Jan 1 2014,6607.874601
2910,Value US$,Jan 1 2015,6920.565047
2911,Value US$,Jan 1 2016,7278.735767
2912,Value US$,Jan 1 2017,7609.365034
2913,Value US$,Jan 1 2018,8050.649783
2914,Value US$,Jan 1 2019,8282.123087
