,symbol,date,price
2965,Value US$,Jan 1 1970,235.928875
2966,Value US$,Jan 1 1971,244.371779
2967,Value US$,Jan 1 1972,255.576054
2968,Value US$,Jan 1 1973,259.900399
2969,Value US$,Jan 1 1974,300.569439
2970,Value US$,Jan 1 1975,328.869228
2971,Value US$,Jan 1 1976,379.839772
2972,Value US$,Jan 1 1977,474.480375
2973,Value US$,Jan 1 1978,567.691274
2974,Value US$,Jan 1 1979,369.445604
2975,Value US$,Jan 1 1980,464.545019
2976,Value US$,Jan 1 1981,303.733682
2977,Value US$,Jan 1 1982,345.582856
2978,Value US$,Jan 1 1983,404.801944
2979,Value US$,Jan 1 1984,450.233086
2980,Value US$,Jan 1 1985,482.844909
2981,Value US$,Jan 1 1986,489.048438
2982,Value US$,Jan 1 1987,526.089358
2983,Value US$,Jan 1 1988,558.399738
2984,Value US$,Jan 1 1989,598.467995
2985,Value US$,Jan 1 1990,641.228495
2986,Value US$,Jan 1 1991,682.633383
2987,Value US$,Jan 1 1992,780.493133
2988,Value US$,Jan 1 1993,845.347524
2989,Value US$,Jan 1 1994,925.235038
2990,Value US$,Jan 1 1995,1054.929903
2991,Value US$,Jan 1 1996,1162.884744
2992,Value US$,Jan 1 1997,1257.033481
2993,Value US$,Jan 1 1998,1316.403988
2994,Value US$,Jan 1 1999,1361.257673
2995,Value US$,Jan 1 2000,1390.112951
2996,Value US$,Jan 1 2001,1293.241618
2997,Value US$,Jan 1 2002,1210.347319
2998,Value US$,Jan 1 2003,1017.168826
2999,Value US$,Jan 1 2004,1067.617527
3000,Value US$,Jan 1 2005,1250.68668
3001,Value US$,Jan 1 2006,1401.539876
3002,Value US$,Jan 1 2007,1689.39991
3003,Value US$,Jan 1 2008,2069.966233
3004,Value US$,Jan 1 2009,2316.59466
3005,Value US$,Jan 1 2010,2593.368405
3006,Value US$,Jan 1 2011,2733.968454
3007,Value US$,Jan 1 2012,3199.827727
3008,Value US$,Jan 1 2013,3062.989012
3009,Value US$,Jan 1 2014,3328.175342
3010,Value US$,Jan 1 2015,3437.21123
3011,Value US$,Jan 1 2016,2861.428376
3012,Value US$,Jan 1 2017,2023.331158
3013,Value US$,Jan 1 2018,2537.512209
3014,Value US$,Jan 1 2019,3161.324684
