,symbol,date,price
3225,Value US$ per capita,Jan 1 1990,234.042399
3226,Value US$ per capita,Jan 1 1991,257.734601
3227,Value US$ per capita,Jan 1 1992,198.932042
3228,Value US$ per capita,Jan 1 1993,138.524971
3229,Value US$ per capita,Jan 1 1994,129.528829
3230,Value US$ per capita,Jan 1 1995,132.990623
3231,Value US$ per capita,Jan 1 1996,139.863436
3232,Value US$ per capita,Jan 1 1997,140.3941
3233,Value US$ per capita,Jan 1 1998,123.610673
3234,Value US$ per capita,Jan 1 1999,113.897041
3235,Value US$ per capita,Jan 1 2000,121.256721
3236,Value US$ per capita,Jan 1 2001,116.836022
3237,Value US$ per capita,Jan 1 2002,109.649579
3238,Value US$ per capita,Jan 1 2003,117.141196
3239,Value US$ per capita,Jan 1 2004,133.832176
3240,Value US$ per capita,Jan 1 2005,159.321189
3241,Value US$ per capita,Jan 1 2006,190.896356
3242,Value US$ per capita,Jan 1 2007,235.415154
3243,Value US$ per capita,Jan 1 2008,308.849115
3244,Value US$ per capita,Jan 1 2009,330.786174
3245,Value US$ per capita,Jan 1 2010,300.22031
3246,Value US$ per capita,Jan 1 2011,338.134634
3247,Value US$ per capita,Jan 1 2012,455.21279
3248,Value US$ per capita,Jan 1 2013,487.934328
3249,Value US$ per capita,Jan 1 2014,552.152701
3250,Value US$ per capita,Jan 1 2015,625.560284
3251,Value US$ per capita,Jan 1 2016,696.479171
3252,Value US$ per capita,Jan 1 2017,721.753494
3253,Value US$ per capita,Jan 1 2018,734.362795
3254,Value US$ per capita,Jan 1 2019,827.544333
