,symbol,date,price
3325,Value US$ per capita,Jan 1 1970,2450.345862
3326,Value US$ per capita,Jan 1 1971,2692.872278
3327,Value US$ per capita,Jan 1 1972,3154.350145
3328,Value US$ per capita,Jan 1 1973,4144.48191
3329,Value US$ per capita,Jan 1 1974,5262.345863
3330,Value US$ per capita,Jan 1 1975,6215.053083
3331,Value US$ per capita,Jan 1 1976,6695.830274
3332,Value US$ per capita,Jan 1 1977,7029.547707
3333,Value US$ per capita,Jan 1 1978,7602.681267
3334,Value US$ per capita,Jan 1 1979,9295.132037
3335,Value US$ per capita,Jan 1 1980,11204.329434
3336,Value US$ per capita,Jan 1 1981,10904.849666
3337,Value US$ per capita,Jan 1 1982,10919.163095
3338,Value US$ per capita,Jan 1 1983,10483.449393
3339,Value US$ per capita,Jan 1 1984,10819.578545
3340,Value US$ per capita,Jan 1 1985,11377.063222
3341,Value US$ per capita,Jan 1 1986,14913.529498
3342,Value US$ per capita,Jan 1 1987,18518.035422
3343,Value US$ per capita,Jan 1 1988,21982.817602
3344,Value US$ per capita,Jan 1 1989,23910.838639
3345,Value US$ per capita,Jan 1 1990,28310.495521
3346,Value US$ per capita,Jan 1 1991,25455.582596
3347,Value US$ per capita,Jan 1 1992,22306.447113
3348,Value US$ per capita,Jan 1 1993,17589.560697
3349,Value US$ per capita,Jan 1 1994,20265.694661
3350,Value US$ per capita,Jan 1 1995,26213.306814
3351,Value US$ per capita,Jan 1 1996,25721.85999
3352,Value US$ per capita,Jan 1 1997,24633.749301
3353,Value US$ per capita,Jan 1 1998,25954.94595
3354,Value US$ per capita,Jan 1 1999,26123.727628
3355,Value US$ per capita,Jan 1 2000,24230.468391
3356,Value US$ per capita,Jan 1 2001,24886.153898
3357,Value US$ per capita,Jan 1 2002,26805.087919
3358,Value US$ per capita,Jan 1 2003,32765.374903
3359,Value US$ per capita,Jan 1 2004,37603.802802
3360,Value US$ per capita,Jan 1 2005,38944.067745
3361,Value US$ per capita,Jan 1 2006,41098.398614
3362,Value US$ per capita,Jan 1 2007,48329.941817
3363,Value US$ per capita,Jan 1 2008,53495.111575
3364,Value US$ per capita,Jan 1 2009,47261.126032
3365,Value US$ per capita,Jan 1 2010,46438.932941
3366,Value US$ per capita,Jan 1 2011,51065.261089
3367,Value US$ per capita,Jan 1 2012,47703.750043
3368,Value US$ per capita,Jan 1 2013,49877.95154
3369,Value US$ per capita,Jan 1 2014,50261.229342
3370,Value US$ per capita,Jan 1 2015,42772.279288
3371,Value US$ per capita,Jan 1 2016,43765.090504
3372,Value US$ per capita,Jan 1 2017,46310.120883
3373,Value US$ per capita,Jan 1 2018,49966.999925
3374,Value US$ per capita,Jan 1 2019,48678.365212
