,symbol,date,price
3425,Value US$ per capita,Jan 1 1970,2378.558474
3426,Value US$ per capita,Jan 1 1971,2685.117085
3427,Value US$ per capita,Jan 1 1972,2851.396237
3428,Value US$ per capita,Jan 1 1973,3637.899011
3429,Value US$ per capita,Jan 1 1974,4526.652741
3430,Value US$ per capita,Jan 1 1975,5442.151732
3431,Value US$ per capita,Jan 1 1976,5968.10171
3432,Value US$ per capita,Jan 1 1977,6221.666364
3433,Value US$ per capita,Jan 1 1978,7628.183577
3434,Value US$ per capita,Jan 1 1979,9190.576941
3435,Value US$ per capita,Jan 1 1980,10164.194476
3436,Value US$ per capita,Jan 1 1981,9226.566131
3437,Value US$ per capita,Jan 1 1982,9003.610402
3438,Value US$ per capita,Jan 1 1983,9083.744323
3439,Value US$ per capita,Jan 1 1984,9115.860579
3440,Value US$ per capita,Jan 1 1985,9694.062827
3441,Value US$ per capita,Jan 1 1986,14413.440671
3442,Value US$ per capita,Jan 1 1987,15519.120099
3443,Value US$ per capita,Jan 1 1988,15354.37077
3444,Value US$ per capita,Jan 1 1989,15138.379552
3445,Value US$ per capita,Jan 1 1990,17848.78298
3446,Value US$ per capita,Jan 1 1991,18083.313717
3447,Value US$ per capita,Jan 1 1992,19260.56452
3448,Value US$ per capita,Jan 1 1993,18020.719789
3449,Value US$ per capita,Jan 1 1994,18321.110222
3450,Value US$ per capita,Jan 1 1995,20271.390211
3451,Value US$ per capita,Jan 1 1996,19163.026953
3452,Value US$ per capita,Jan 1 1997,17956.327517
3453,Value US$ per capita,Jan 1 1998,18326.37615
3454,Value US$ per capita,Jan 1 1999,17782.2126
3455,Value US$ per capita,Jan 1 2000,15609.69244
3456,Value US$ per capita,Jan 1 2001,15077.768963
3457,Value US$ per capita,Jan 1 2002,15790.225762
3458,Value US$ per capita,Jan 1 2003,19479.793462
3459,Value US$ per capita,Jan 1 2004,21692.444345
3460,Value US$ per capita,Jan 1 2005,22037.186591
3461,Value US$ per capita,Jan 1 2006,22500.197522
3462,Value US$ per capita,Jan 1 2007,25206.958361
3463,Value US$ per capita,Jan 1 2008,26917.914503
3464,Value US$ per capita,Jan 1 2009,24724.084186
3465,Value US$ per capita,Jan 1 2010,22820.783924
3466,Value US$ per capita,Jan 1 2011,23144.8181
3467,Value US$ per capita,Jan 1 2012,21164.40914
3468,Value US$ per capita,Jan 1 2013,22306.652486
3469,Value US$ per capita,Jan 1 2014,22612.074653
3470,Value US$ per capita,Jan 1 2015,19491.897197
3471,Value US$ per capita,Jan 1 2016,20006.573431
3472,Value US$ per capita,Jan 1 2017,20852.099951
3473,Value US$ per capita,Jan 1 2018,22238.267569
3474,Value US$ per capita,Jan 1 2019,21566.946149
