,symbol,date,price
3705,Value US$ per capita,Jan 1 1970,1515.971942
3706,Value US$ per capita,Jan 1 1971,1673.185577
3707,Value US$ per capita,Jan 1 1972,1923.463583
3708,Value US$ per capita,Jan 1 1973,2526.754143
3709,Value US$ per capita,Jan 1 1974,2840.9607
3710,Value US$ per capita,Jan 1 1975,3165.897044
3711,Value US$ per capita,Jan 1 1976,3414.254497
3712,Value US$ per capita,Jan 1 1977,3908.485954
3713,Value US$ per capita,Jan 1 1978,4713.637786
3714,Value US$ per capita,Jan 1 1979,5725.615849
3715,Value US$ per capita,Jan 1 1980,5904.709935
3716,Value US$ per capita,Jan 1 1981,5385.29149
3717,Value US$ per capita,Jan 1 1982,5573.719162
3718,Value US$ per capita,Jan 1 1983,5011.872047
3719,Value US$ per capita,Jan 1 1984,4842.596697
3720,Value US$ per capita,Jan 1 1985,4796.867058
3721,Value US$ per capita,Jan 1 1986,5629.405312
3722,Value US$ per capita,Jan 1 1987,6527.127654
3723,Value US$ per capita,Jan 1 1988,7549.277076
3724,Value US$ per capita,Jan 1 1989,7794.783984
3725,Value US$ per capita,Jan 1 1990,9572.952267
3726,Value US$ per capita,Jan 1 1991,10193.172968
3727,Value US$ per capita,Jan 1 1992,11153.237662
3728,Value US$ per capita,Jan 1 1993,10329.806037
3729,Value US$ per capita,Jan 1 1994,10954.225965
3730,Value US$ per capita,Jan 1 1995,12738.925211
3731,Value US$ per capita,Jan 1 1996,13465.309683
3732,Value US$ per capita,Jan 1 1997,13125.47464
3733,Value US$ per capita,Jan 1 1998,13165.745372
3734,Value US$ per capita,Jan 1 1999,13525.178191
3735,Value US$ per capita,Jan 1 2000,11885.758237
3736,Value US$ per capita,Jan 1 2001,12231.412341
3737,Value US$ per capita,Jan 1 2002,13757.266009
3738,Value US$ per capita,Jan 1 2003,17997.896923
3739,Value US$ per capita,Jan 1 2004,21409.157541
3740,Value US$ per capita,Jan 1 2005,22074.071493
3741,Value US$ per capita,Jan 1 2006,24434.346481
3742,Value US$ per capita,Jan 1 2007,28639.508726
3743,Value US$ per capita,Jan 1 2008,32107.247457
3744,Value US$ per capita,Jan 1 2009,30109.698398
3745,Value US$ per capita,Jan 1 2010,27263.523563
3746,Value US$ per capita,Jan 1 2011,26098.7675
3747,Value US$ per capita,Jan 1 2012,22451.602508
3748,Value US$ per capita,Jan 1 2013,22204.185096
3749,Value US$ per capita,Jan 1 2014,21987.239683
3750,Value US$ per capita,Jan 1 2015,18322.944713
3751,Value US$ per capita,Jan 1 2016,18156.300177
3752,Value US$ per capita,Jan 1 2017,18934.301204
3753,Value US$ per capita,Jan 1 2018,20171.526749
3754,Value US$ per capita,Jan 1 2019,19604.489125
