,symbol,date,price
3755,Value US$ per capita,Jan 1 1970,1648.827971
3756,Value US$ per capita,Jan 1 1971,2051.161799
3757,Value US$ per capita,Jan 1 1972,2411.599274
3758,Value US$ per capita,Jan 1 1973,3142.380883
3759,Value US$ per capita,Jan 1 1974,3771.36558
3760,Value US$ per capita,Jan 1 1975,4654.155938
3761,Value US$ per capita,Jan 1 1976,5285.507593
3762,Value US$ per capita,Jan 1 1977,6188.331564
3763,Value US$ per capita,Jan 1 1978,7801.973387
3764,Value US$ per capita,Jan 1 1979,9203.178574
3765,Value US$ per capita,Jan 1 1980,10367.026082
3766,Value US$ per capita,Jan 1 1981,9413.372703
3767,Value US$ per capita,Jan 1 1982,8595.639901
3768,Value US$ per capita,Jan 1 1983,8774.747948
3769,Value US$ per capita,Jan 1 1984,7891.266594
3770,Value US$ per capita,Jan 1 1985,8482.269651
3771,Value US$ per capita,Jan 1 1986,12248.785134
3772,Value US$ per capita,Jan 1 1987,15824.458434
3773,Value US$ per capita,Jan 1 1988,17893.440605
3774,Value US$ per capita,Jan 1 1989,18374.927903
3775,Value US$ per capita,Jan 1 1990,20025.365558
3776,Value US$ per capita,Jan 1 1991,19910.438414
3777,Value US$ per capita,Jan 1 1992,20303.717159
3778,Value US$ per capita,Jan 1 1993,18142.38694
3779,Value US$ per capita,Jan 1 1994,19693.392281
3780,Value US$ per capita,Jan 1 1995,23670.735475
3781,Value US$ per capita,Jan 1 1996,23435.872512
3782,Value US$ per capita,Jan 1 1997,20965.980407
3783,Value US$ per capita,Jan 1 1998,22458.549456
3784,Value US$ per capita,Jan 1 1999,22062.41739
3785,Value US$ per capita,Jan 1 2000,20775.923862
3786,Value US$ per capita,Jan 1 2001,21071.887919
3787,Value US$ per capita,Jan 1 2002,22604.792
3788,Value US$ per capita,Jan 1 2003,27487.47521
3789,Value US$ per capita,Jan 1 2004,32051.843454
3790,Value US$ per capita,Jan 1 2005,32480.599961
3791,Value US$ per capita,Jan 1 2006,35335.641233
3792,Value US$ per capita,Jan 1 2007,39520.989417
3793,Value US$ per capita,Jan 1 2008,43966.369278
3794,Value US$ per capita,Jan 1 2009,44598.153655
3795,Value US$ per capita,Jan 1 2010,44195.896527
3796,Value US$ per capita,Jan 1 2011,47468.906633
3797,Value US$ per capita,Jan 1 2012,46213.541614
3798,Value US$ per capita,Jan 1 2013,47593.631725
3799,Value US$ per capita,Jan 1 2014,50408.220449
3800,Value US$ per capita,Jan 1 2015,44328.592963
3801,Value US$ per capita,Jan 1 2016,47988.715894
3802,Value US$ per capita,Jan 1 2017,50046.1168
3803,Value US$ per capita,Jan 1 2018,53949.814559
3804,Value US$ per capita,Jan 1 2019,53352.647732
