,symbol,date,price
3805,Value US$,Jan 1 1970,202.253093
3806,Value US$,Jan 1 1971,256.723281
3807,Value US$,Jan 1 1972,343.918775
3808,Value US$,Jan 1 1973,425.155678
3809,Value US$,Jan 1 1974,441.800132
3810,Value US$,Jan 1 1975,547.581593
3811,Value US$,Jan 1 1976,554.522258
3812,Value US$,Jan 1 1977,629.769947
3813,Value US$,Jan 1 1978,787.832809
3814,Value US$,Jan 1 1979,917.173493
3815,Value US$,Jan 1 1980,989.995116
3816,Value US$,Jan 1 1981,1043.578139
3817,Value US$,Jan 1 1982,1121.759261
3818,Value US$,Jan 1 1983,1149.263101
3819,Value US$,Jan 1 1984,1218.057369
3820,Value US$,Jan 1 1985,1358.63245
3821,Value US$,Jan 1 1986,1526.030449
3822,Value US$,Jan 1 1987,1782.038806
3823,Value US$,Jan 1 1988,1995.383344
3824,Value US$,Jan 1 1989,2212.236923
3825,Value US$,Jan 1 1990,2450.97724
3826,Value US$,Jan 1 1991,2565.764416
3827,Value US$,Jan 1 1992,2595.647999
3828,Value US$,Jan 1 1993,2564.623318
3829,Value US$,Jan 1 1994,2660.880398
3830,Value US$,Jan 1 1995,2774.376437
3831,Value US$,Jan 1 1996,2953.961321
3832,Value US$,Jan 1 1997,3162.72885
3833,Value US$,Jan 1 1998,3459.622413
3834,Value US$,Jan 1 1999,3708.93618
3835,Value US$,Jan 1 2000,5057.174686
3836,Value US$,Jan 1 2001,5040.672979
3837,Value US$,Jan 1 2002,5213.897341
3838,Value US$,Jan 1 2003,5682.597169
3839,Value US$,Jan 1 2004,5741.597923
3840,Value US$,Jan 1 2005,6644.025667
3841,Value US$,Jan 1 2006,6658.534493
3842,Value US$,Jan 1 2007,7212.521962
3843,Value US$,Jan 1 2008,7832.439859
3844,Value US$,Jan 1 2009,7290.718107
3845,Value US$,Jan 1 2010,7257.771265
3846,Value US$,Jan 1 2011,7291.055429
3847,Value US$,Jan 1 2012,7444.497529
3848,Value US$,Jan 1 2013,7789.316542
3849,Value US$,Jan 1 2014,8370.454714
3850,Value US$,Jan 1 2015,9096.870791
3851,Value US$,Jan 1 2016,9628.347396
3852,Value US$,Jan 1 2017,10152.836673
3853,Value US$,Jan 1 2018,10485.906044
3854,Value US$,Jan 1 2019,10817.732726
