,symbol,date,price
3855,Value US$,Jan 1 1970,297.13558
3856,Value US$,Jan 1 1971,301.241871
3857,Value US$,Jan 1 1972,310.321273
3858,Value US$,Jan 1 1973,369.253884
3859,Value US$,Jan 1 1974,442.463757
3860,Value US$,Jan 1 1975,497.183213
3861,Value US$,Jan 1 1976,580.342494
3862,Value US$,Jan 1 1977,710.692521
3863,Value US$,Jan 1 1978,768.084502
3864,Value US$,Jan 1 1979,852.248601
3865,Value US$,Jan 1 1980,949.113076
3866,Value US$,Jan 1 1981,1011.423964
3867,Value US$,Jan 1 1982,999.10137
3868,Value US$,Jan 1 1983,1011.757643
3869,Value US$,Jan 1 1984,1033.031865
3870,Value US$,Jan 1 1985,1190.34792
3871,Value US$,Jan 1 1986,878.200519
3872,Value US$,Jan 1 1987,719.443444
3873,Value US$,Jan 1 1988,778.136073
3874,Value US$,Jan 1 1989,815.283851
3875,Value US$,Jan 1 1990,724.510835
3876,Value US$,Jan 1 1991,870.192544
3877,Value US$,Jan 1 1992,943.498571
3878,Value US$,Jan 1 1993,1006.328832
3879,Value US$,Jan 1 1994,1119.762294
3880,Value US$,Jan 1 1995,1235.359674
3881,Value US$,Jan 1 1996,1300.576837
3882,Value US$,Jan 1 1997,1433.144702
3883,Value US$,Jan 1 1998,1528.320933
3884,Value US$,Jan 1 1999,1411.286284
3885,Value US$,Jan 1 2000,1452.502554
3886,Value US$,Jan 1 2001,1543.487792
3887,Value US$,Jan 1 2002,1674.754904
3888,Value US$,Jan 1 2003,1725.513863
3889,Value US$,Jan 1 2004,1843.01784
3890,Value US$,Jan 1 2005,2044.847496
3891,Value US$,Jan 1 2006,2220.744612
3892,Value US$,Jan 1 2007,2450.431868
3893,Value US$,Jan 1 2008,2749.823206
3894,Value US$,Jan 1 2009,2593.902054
3895,Value US$,Jan 1 2010,2780.65391
3896,Value US$,Jan 1 2011,3137.268075
3897,Value US$,Jan 1 2012,3247.299499
3898,Value US$,Jan 1 2013,3398.11959
3899,Value US$,Jan 1 2014,3633.190544
3900,Value US$,Jan 1 2015,3826.262816
3901,Value US$,Jan 1 2016,3983.181567
3902,Value US$,Jan 1 2017,4233.644814
3903,Value US$,Jan 1 2018,4239.281796
3904,Value US$,Jan 1 2019,4363.138793
