,symbol,date,price
4005,Value US$,Jan 1 1970,605.816482
4006,Value US$,Jan 1 1971,633.823762
4007,Value US$,Jan 1 1972,634.217297
4008,Value US$,Jan 1 1973,668.861829
4009,Value US$,Jan 1 1974,926.686994
4010,Value US$,Jan 1 1975,1078.327918
4011,Value US$,Jan 1 1976,942.245469
4012,Value US$,Jan 1 1977,922.52666
4013,Value US$,Jan 1 1978,1029.342248
4014,Value US$,Jan 1 1979,1068.263678
4015,Value US$,Jan 1 1980,1208.816413
4016,Value US$,Jan 1 1981,1158.333095
4017,Value US$,Jan 1 1982,983.871094
4018,Value US$,Jan 1 1983,992.915389
4019,Value US$,Jan 1 1984,912.696803
4020,Value US$,Jan 1 1985,956.105912
4021,Value US$,Jan 1 1986,1083.955694
4022,Value US$,Jan 1 1987,724.457838
4023,Value US$,Jan 1 1988,878.887658
4024,Value US$,Jan 1 1989,813.527713
4025,Value US$,Jan 1 1990,850.112776
4026,Value US$,Jan 1 1991,746.503802
4027,Value US$,Jan 1 1992,796.420155
4028,Value US$,Jan 1 1993,986.52376
4029,Value US$,Jan 1 1994,1145.89713
4030,Value US$,Jan 1 1995,1302.240238
4031,Value US$,Jan 1 1996,1478.84757
4032,Value US$,Jan 1 1997,1576.120025
4033,Value US$,Jan 1 1998,1518.013048
4034,Value US$,Jan 1 1999,1477.901601
4035,Value US$,Jan 1 2000,1521.999871
4036,Value US$,Jan 1 2001,1653.576692
4037,Value US$,Jan 1 2002,1830.39373
4038,Value US$,Jan 1 2003,2031.384474
4039,Value US$,Jan 1 2004,2334.998266
4040,Value US$,Jan 1 2005,2651.232714
4041,Value US$,Jan 1 2006,3188.63845
4042,Value US$,Jan 1 2007,3658.492277
4043,Value US$,Jan 1 2008,4050.776702
4044,Value US$,Jan 1 2009,4233.76442
4045,Value US$,Jan 1 2010,4580.661713
4046,Value US$,Jan 1 2011,4908.573542
4047,Value US$,Jan 1 2012,5378.731676
4048,Value US$,Jan 1 2013,5489.112699
4049,Value US$,Jan 1 2014,5407.090836
4050,Value US$,Jan 1 2015,5576.833118
4051,Value US$,Jan 1 2016,5811.360254
4052,Value US$,Jan 1 2017,6124.922066
4053,Value US$,Jan 1 2018,6145.828152
4054,Value US$,Jan 1 2019,6609.587274
