,symbol,date,price
4255,Value US$,Jan 1 1970,112.434493
4256,Value US$,Jan 1 1971,117.806396
4257,Value US$,Jan 1 1972,125.186326
4258,Value US$,Jan 1 1973,146.025083
4259,Value US$,Jan 1 1974,160.935556
4260,Value US$,Jan 1 1975,163.272189
4261,Value US$,Jan 1 1976,160.694545
4262,Value US$,Jan 1 1977,182.46143
4263,Value US$,Jan 1 1978,206.0288
4264,Value US$,Jan 1 1979,222.639473
4265,Value US$,Jan 1 1980,267.590034
4266,Value US$,Jan 1 1981,278.932128
4267,Value US$,Jan 1 1982,279.131603
4268,Value US$,Jan 1 1983,297.386551
4269,Value US$,Jan 1 1984,289.43213
4270,Value US$,Jan 1 1985,293.287157
4271,Value US$,Jan 1 1986,314.79067
4272,Value US$,Jan 1 1987,340.600677
4273,Value US$,Jan 1 1988,368.389866
4274,Value US$,Jan 1 1989,355.432583
4275,Value US$,Jan 1 1990,376.90118
4276,Value US$,Jan 1 1991,326.724017
4277,Value US$,Jan 1 1992,322.985507
4278,Value US$,Jan 1 1993,309.76129
4279,Value US$,Jan 1 1994,346.36724
4280,Value US$,Jan 1 1995,385.697694
4281,Value US$,Jan 1 1996,400.713409
4282,Value US$,Jan 1 1997,425.162383
4283,Value US$,Jan 1 1998,421.341008
4284,Value US$,Jan 1 1999,444.860576
4285,Value US$,Jan 1 2000,450.652143
4286,Value US$,Jan 1 2001,456.426759
4287,Value US$,Jan 1 2002,469.008101
4288,Value US$,Jan 1 2003,539.32339
4289,Value US$,Jan 1 2004,622.44543
4290,Value US$,Jan 1 2005,717.675543
4291,Value US$,Jan 1 2006,805.729269
4292,Value US$,Jan 1 2007,1001.28043
4293,Value US$,Jan 1 2008,1055.635911
4294,Value US$,Jan 1 2009,1080.070556
4295,Value US$,Jan 1 2010,1352.706184
4296,Value US$,Jan 1 2011,1497.189524
4297,Value US$,Jan 1 2012,1470.14242
4298,Value US$,Jan 1 2013,1496.713497
4299,Value US$,Jan 1 2014,1576.827781
4300,Value US$,Jan 1 2015,1638.556402
4301,Value US$,Jan 1 2016,1729.378028
4302,Value US$,Jan 1 2017,1961.338029
4303,Value US$,Jan 1 2018,2050.549716
4304,Value US$,Jan 1 2019,2116.177386
