,symbol,date,price
4305,Value US$ per capita,Jan 1 1970,90.492879
4306,Value US$ per capita,Jan 1 1971,92.529764
4307,Value US$ per capita,Jan 1 1972,105.783831
4308,Value US$ per capita,Jan 1 1973,152.511785
4309,Value US$ per capita,Jan 1 1974,235.727091
4310,Value US$ per capita,Jan 1 1975,271.407745
4311,Value US$ per capita,Jan 1 1976,323.928764
4312,Value US$ per capita,Jan 1 1977,388.612834
4313,Value US$ per capita,Jan 1 1978,426.209909
4314,Value US$ per capita,Jan 1 1979,415.791213
4315,Value US$ per capita,Jan 1 1980,572.727899
4316,Value US$ per capita,Jan 1 1981,710.252373
4317,Value US$ per capita,Jan 1 1982,712.513906
4318,Value US$ per capita,Jan 1 1983,629.529867
4319,Value US$ per capita,Jan 1 1984,632.00923
4320,Value US$ per capita,Jan 1 1985,616.825582
4321,Value US$ per capita,Jan 1 1986,554.030537
4322,Value US$ per capita,Jan 1 1987,515.252015
4323,Value US$ per capita,Jan 1 1988,591.22331
4324,Value US$ per capita,Jan 1 1989,663.307369
4325,Value US$ per capita,Jan 1 1990,734.870788
4326,Value US$ per capita,Jan 1 1991,808.917957
4327,Value US$ per capita,Jan 1 1992,863.236715
4328,Value US$ per capita,Jan 1 1993,964.419086
4329,Value US$ per capita,Jan 1 1994,1062.576416
4330,Value US$ per capita,Jan 1 1995,1195.559301
4331,Value US$ per capita,Jan 1 1996,1324.891933
4332,Value US$ per capita,Jan 1 1997,1239.081737
4333,Value US$ per capita,Jan 1 1998,540.456942
4334,Value US$ per capita,Jan 1 1999,785.061266
4335,Value US$ per capita,Jan 1 2000,830.689105
4336,Value US$ per capita,Jan 1 2001,796.68957
4337,Value US$ per capita,Jan 1 2002,958.442758
4338,Value US$ per capita,Jan 1 2003,1134.62401
4339,Value US$ per capita,Jan 1 2004,1224.713478
4340,Value US$ per capita,Jan 1 2005,1345.055304
4341,Value US$ per capita,Jan 1 2006,1692.703544
4342,Value US$ per capita,Jan 1 2007,1980.393955
4343,Value US$ per capita,Jan 1 2008,2307.106731
4344,Value US$ per capita,Jan 1 2009,2407.609506
4345,Value US$ per capita,Jan 1 2010,3122.362804
4346,Value US$ per capita,Jan 1 2011,3643.047177
4347,Value US$ per capita,Jan 1 2012,3694.359234
4348,Value US$ per capita,Jan 1 2013,3623.927341
4349,Value US$ per capita,Jan 1 2014,3491.637492
4350,Value US$ per capita,Jan 1 2015,3331.695119
4351,Value US$ per capita,Jan 1 2016,3562.816401
4352,Value US$ per capita,Jan 1 2017,3837.578117
4353,Value US$ per capita,Jan 1 2018,3893.743031
4354,Value US$ per capita,Jan 1 2019,4135.569274
