,symbol,date,price
4555,Value US$,Jan 1 1970,2118.882143
4556,Value US$,Jan 1 1971,2313.589107
4557,Value US$,Jan 1 1972,2677.113495
4558,Value US$,Jan 1 1973,3213.091231
4559,Value US$,Jan 1 1974,3631.509656
4560,Value US$,Jan 1 1975,4120.43757
4561,Value US$,Jan 1 1976,4046.520828
4562,Value US$,Jan 1 1977,4618.094617
4563,Value US$,Jan 1 1978,5627.17398
4564,Value US$,Jan 1 1979,7007.624248
4565,Value US$,Jan 1 1980,8469.256977
4566,Value US$,Jan 1 1981,7622.448473
4567,Value US$,Jan 1 1982,7542.866147
4568,Value US$,Jan 1 1983,7804.620597
4569,Value US$,Jan 1 1984,7700.776724
4570,Value US$,Jan 1 1985,7942.103624
4571,Value US$,Jan 1 1986,11237.445573
4572,Value US$,Jan 1 1987,14134.15257
4573,Value US$,Jan 1 1988,15636.47154
4574,Value US$,Jan 1 1989,16283.482011
4575,Value US$,Jan 1 1990,20621.525691
4576,Value US$,Jan 1 1991,21729.88002
4577,Value US$,Jan 1 1992,22990.577211
4578,Value US$,Jan 1 1993,18526.001772
4579,Value US$,Jan 1 1994,19119.960454
4580,Value US$,Jan 1 1995,20545.883018
4581,Value US$,Jan 1 1996,22999.702086
4582,Value US$,Jan 1 1997,21824.847778
4583,Value US$,Jan 1 1998,22383.227763
4584,Value US$,Jan 1 1999,22098.198038
4585,Value US$,Jan 1 2000,20176.133542
4586,Value US$,Jan 1 2001,20518.669665
4587,Value US$,Jan 1 2002,22223.052321
4588,Value US$,Jan 1 2003,27344.677995
4589,Value US$,Jan 1 2004,31119.143699
4590,Value US$,Jan 1 2005,31870.958907
4591,Value US$,Jan 1 2006,33271.827611
4592,Value US$,Jan 1 2007,37621.441108
4593,Value US$,Jan 1 2008,40713.842425
4594,Value US$,Jan 1 2009,37071.088974
4595,Value US$,Jan 1 2010,35971.506208
4596,Value US$,Jan 1 2011,38463.27548
4597,Value US$,Jan 1 2012,34854.633776
4598,Value US$,Jan 1 2013,35589.631817
4599,Value US$,Jan 1 2014,35741.557715
4600,Value US$,Jan 1 2015,30306.122125
4601,Value US$,Jan 1 2016,30921.576715
4602,Value US$,Jan 1 2017,32333.550863
4603,Value US$,Jan 1 2018,34498.406915
4604,Value US$,Jan 1 2019,33089.573308
