,symbol,date,price
4605,Value US$ per capita,Jan 1 1970,925.329884
4606,Value US$ per capita,Jan 1 1971,997.550907
4607,Value US$ per capita,Jan 1 1972,1194.845767
4608,Value US$ per capita,Jan 1 1973,1205.511326
4609,Value US$ per capita,Jan 1 1974,1474.060901
4610,Value US$ per capita,Jan 1 1975,1749.325717
4611,Value US$ per capita,Jan 1 1976,1789.701332
4612,Value US$ per capita,Jan 1 1977,1936.881204
4613,Value US$ per capita,Jan 1 1978,1557.486024
4614,Value US$ per capita,Jan 1 1979,1414.640463
4615,Value US$ per capita,Jan 1 1980,1536.387242
4616,Value US$ per capita,Jan 1 1981,1681.714313
4617,Value US$ per capita,Jan 1 1982,1828.362897
4618,Value US$ per capita,Jan 1 1983,1975.822595
4619,Value US$ per capita,Jan 1 1984,1276.308347
4620,Value US$ per capita,Jan 1 1985,1115.277013
4621,Value US$ per capita,Jan 1 1986,1334.336129
4622,Value US$ per capita,Jan 1 1987,1583.439059
4623,Value US$ per capita,Jan 1 1988,1840.109629
4624,Value US$ per capita,Jan 1 1989,2100.623821
4625,Value US$ per capita,Jan 1 1990,2180.673374
4626,Value US$ per capita,Jan 1 1991,1933.697588
4627,Value US$ per capita,Jan 1 1992,1715.789845
4628,Value US$ per capita,Jan 1 1993,2189.534443
4629,Value US$ per capita,Jan 1 1994,2173.162792
4630,Value US$ per capita,Jan 1 1995,2596.002743
4631,Value US$ per capita,Jan 1 1996,2889.777586
4632,Value US$ per capita,Jan 1 1997,3250.895851
4633,Value US$ per capita,Jan 1 1998,3368.196007
4634,Value US$ per capita,Jan 1 1999,3375.676099
4635,Value US$ per capita,Jan 1 2000,3392.121895
4636,Value US$ per capita,Jan 1 2001,3437.663539
4637,Value US$ per capita,Jan 1 2002,3609.194723
4638,Value US$ per capita,Jan 1 2003,3480.516475
4639,Value US$ per capita,Jan 1 2004,3733.800338
4640,Value US$ per capita,Jan 1 2005,4103.593701
4641,Value US$ per capita,Jan 1 2006,4331.308616
4642,Value US$ per capita,Jan 1 2007,4623.752955
4643,Value US$ per capita,Jan 1 2008,4928.114917
4644,Value US$ per capita,Jan 1 2009,4335.180955
4645,Value US$ per capita,Jan 1 2010,4704.050493
4646,Value US$ per capita,Jan 1 2011,5111.533316
4647,Value US$ per capita,Jan 1 2012,5209.787043
4648,Value US$ per capita,Jan 1 2013,4997.53789
4649,Value US$ per capita,Jan 1 2014,4834.279376
4650,Value US$ per capita,Jan 1 2015,4910.964229
4651,Value US$ per capita,Jan 1 2016,4843.758539
4652,Value US$ per capita,Jan 1 2017,5070.097753
4653,Value US$ per capita,Jan 1 2018,5360.003954
4654,Value US$ per capita,Jan 1 2019,5369.49399
