,symbol,date,price
4755,Value US$ per capita,Jan 1 1990,1810.593029
4756,Value US$ per capita,Jan 1 1991,1667.842919
4757,Value US$ per capita,Jan 1 1992,1622.100289
4758,Value US$ per capita,Jan 1 1993,1518.46894
4759,Value US$ per capita,Jan 1 1994,1369.406765
4760,Value US$ per capita,Jan 1 1995,1297.675157
4761,Value US$ per capita,Jan 1 1996,1345.66633
4762,Value US$ per capita,Jan 1 1997,1438.785392
4763,Value US$ per capita,Jan 1 1998,1457.209785
4764,Value US$ per capita,Jan 1 1999,1123.180812
4765,Value US$ per capita,Jan 1 2000,1225.781349
4766,Value US$ per capita,Jan 1 2001,1485.740077
4767,Value US$ per capita,Jan 1 2002,1645.051239
4768,Value US$ per capita,Jan 1 2003,2041.960735
4769,Value US$ per capita,Jan 1 2004,2829.613269
4770,Value US$ per capita,Jan 1 2005,3708.653347
4771,Value US$ per capita,Jan 1 2006,5208.827018
4772,Value US$ per capita,Jan 1 2007,6677.443694
4773,Value US$ per capita,Jan 1 2008,8412.597054
4774,Value US$ per capita,Jan 1 2009,7187.473471
4775,Value US$ per capita,Jan 1 2010,9109.328497
4776,Value US$ per capita,Jan 1 2011,11680.936201
4777,Value US$ per capita,Jan 1 2012,12416.694532
4778,Value US$ per capita,Jan 1 2013,13898.33066
4779,Value US$ per capita,Jan 1 2014,12796.656113
4780,Value US$ per capita,Jan 1 2015,10493.298232
4781,Value US$ per capita,Jan 1 2016,7698.899797
4782,Value US$ per capita,Jan 1 2017,9225.974208
4783,Value US$ per capita,Jan 1 2018,9789.504209
4784,Value US$ per capita,Jan 1 2019,9792.625928
