,symbol,date,price
4965,Value US$,Jan 1 1970,44.30382
4966,Value US$,Jan 1 1971,47.565495
4967,Value US$,Jan 1 1972,49.914564
4968,Value US$,Jan 1 1973,55.707734
4969,Value US$,Jan 1 1974,61.424432
4970,Value US$,Jan 1 1975,70.169448
4971,Value US$,Jan 1 1976,75.053746
4972,Value US$,Jan 1 1977,77.20874
4973,Value US$,Jan 1 1978,82.592511
4974,Value US$,Jan 1 1979,86.605799
4975,Value US$,Jan 1 1980,102.25537
4976,Value US$,Jan 1 1981,126.55853
4977,Value US$,Jan 1 1982,140.603968
4978,Value US$,Jan 1 1983,149.068365
4979,Value US$,Jan 1 1984,161.066333
4980,Value US$,Jan 1 1985,169.77535
4981,Value US$,Jan 1 1986,176.565892
4982,Value US$,Jan 1 1987,173.267624
4983,Value US$,Jan 1 1988,170.734019
4984,Value US$,Jan 1 1989,196.827427
4985,Value US$,Jan 1 1990,211.765028
4986,Value US$,Jan 1 1991,244.625925
4987,Value US$,Jan 1 1992,273.043376
4988,Value US$,Jan 1 1993,300.2223
4989,Value US$,Jan 1 1994,339.658141
4990,Value US$,Jan 1 1995,382.216655
4991,Value US$,Jan 1 1996,394.368315
4992,Value US$,Jan 1 1997,360.350421
4993,Value US$,Jan 1 1998,260.328685
4994,Value US$,Jan 1 1999,289.46679
4995,Value US$,Jan 1 2000,339.242913
4996,Value US$,Jan 1 2001,337.800413
4997,Value US$,Jan 1 2002,347.129511
4998,Value US$,Jan 1 2003,391.683756
4999,Value US$,Jan 1 2004,455.094217
5000,Value US$,Jan 1 2005,512.25943
5001,Value US$,Jan 1 2006,616.821802
5002,Value US$,Jan 1 2007,768.721338
5003,Value US$,Jan 1 2008,947.928502
5004,Value US$,Jan 1 2009,985.089946
5005,Value US$,Jan 1 2010,1170.308459
5006,Value US$,Jan 1 2011,1377.175707
5007,Value US$,Jan 1 2012,1581.396172
5008,Value US$,Jan 1 2013,1825.665622
5009,Value US$,Jan 1 2014,1998.329714
5010,Value US$,Jan 1 2015,2134.712363
5011,Value US$,Jan 1 2016,2308.800473
5012,Value US$,Jan 1 2017,2455.211675
5013,Value US$,Jan 1 2018,2569.092464
5014,Value US$,Jan 1 2019,2625.387111
