,symbol,date,price
5015,Value US$ per capita,Jan 1 1990,3623.260013
5016,Value US$ per capita,Jan 1 1991,3375.109964
5017,Value US$ per capita,Jan 1 1992,2273.498265
5018,Value US$ per capita,Jan 1 1993,2010.155443
5019,Value US$ per capita,Jan 1 1994,2098.050156
5020,Value US$ per capita,Jan 1 1995,2154.448035
5021,Value US$ per capita,Jan 1 1996,2407.891704
5022,Value US$ per capita,Jan 1 1997,2658.389716
5023,Value US$ per capita,Jan 1 1998,2945.644976
5024,Value US$ per capita,Jan 1 1999,3124.985803
5025,Value US$ per capita,Jan 1 2000,3334.298296
5026,Value US$ per capita,Jan 1 2001,3540.518419
5027,Value US$ per capita,Jan 1 2002,4092.162356
5028,Value US$ per capita,Jan 1 2003,5095.279921
5029,Value US$ per capita,Jan 1 2004,6319.747375
5030,Value US$ per capita,Jan 1 2005,7530.620317
5031,Value US$ per capita,Jan 1 2006,9670.606445
5032,Value US$ per capita,Jan 1 2007,14106.159077
5033,Value US$ per capita,Jan 1 2008,16466.994484
5034,Value US$ per capita,Jan 1 2009,12271.506739
5035,Value US$ per capita,Jan 1 2010,11269.05714
5036,Value US$ per capita,Jan 1 2011,13670.167033
5037,Value US$ per capita,Jan 1 2012,13692.804523
5038,Value US$ per capita,Jan 1 2013,14881.876555
5039,Value US$ per capita,Jan 1 2014,15500.235824
5040,Value US$ per capita,Jan 1 2015,13635.685779
5041,Value US$ per capita,Jan 1 2016,14208.990005
5042,Value US$ per capita,Jan 1 2017,15611.095187
5043,Value US$ per capita,Jan 1 2018,17846.380379
5044,Value US$ per capita,Jan 1 2019,17885.427445
