,symbol,date,price
5045,Value US$,Jan 1 1970,865.982645
5046,Value US$,Jan 1 1971,949.715191
5047,Value US$,Jan 1 1972,1153.353739
5048,Value US$,Jan 1 1973,1465.33116
5049,Value US$,Jan 1 1974,1841.77595
5050,Value US$,Jan 1 1975,1690.629267
5051,Value US$,Jan 1 1976,734.989953
5052,Value US$,Jan 1 1977,1372.95954
5053,Value US$,Jan 1 1978,1532.545104
5054,Value US$,Jan 1 1979,1774.227008
5055,Value US$,Jan 1 1980,2103.971343
5056,Value US$,Jan 1 1981,2006.873356
5057,Value US$,Jan 1 1982,1362.496253
5058,Value US$,Jan 1 1983,1435.06383
5059,Value US$,Jan 1 1984,1001.871574
5060,Value US$,Jan 1 1985,858.002464
5061,Value US$,Jan 1 1986,1055.507447
5062,Value US$,Jan 1 1987,817.204619
5063,Value US$,Jan 1 1988,1295.108652
5064,Value US$,Jan 1 1989,1046.065391
5065,Value US$,Jan 1 1990,1052.497175
5066,Value US$,Jan 1 1991,1490.812819
5067,Value US$,Jan 1 1992,1864.086371
5068,Value US$,Jan 1 1993,2436.449353
5069,Value US$,Jan 1 1994,2751.26866
5070,Value US$,Jan 1 1995,3260.974569
5071,Value US$,Jan 1 1996,3775.597657
5072,Value US$,Jan 1 1997,4262.796261
5073,Value US$,Jan 1 1998,4578.307818
5074,Value US$,Jan 1 1999,4538.432325
5075,Value US$,Jan 1 2000,4340.229536
5076,Value US$,Jan 1 2001,4275.937288
5077,Value US$,Jan 1 2002,4474.28117
5078,Value US$,Jan 1 2003,4512.280099
5079,Value US$,Jan 1 2004,4630.789572
5080,Value US$,Jan 1 2005,4575.105512
5081,Value US$,Jan 1 2006,4626.859808
5082,Value US$,Jan 1 2007,5207.796
5083,Value US$,Jan 1 2008,6111.332411
5084,Value US$,Jan 1 2009,7354.953605
5085,Value US$,Jan 1 2010,7761.646191
5086,Value US$,Jan 1 2011,7675.303038
5087,Value US$,Jan 1 2012,7952.162727
5088,Value US$,Jan 1 2013,7933.225199
5089,Value US$,Jan 1 2014,7687.932975
5090,Value US$,Jan 1 2015,7644.548657
5091,Value US$,Jan 1 2016,7626.300196
5092,Value US$,Jan 1 2017,7792.598861
5093,Value US$,Jan 1 2018,8012.539237
5094,Value US$,Jan 1 2019,7784.316857
