,symbol,date,price
5095,Value US$ per capita,Jan 1 1970,77.197792
5096,Value US$ per capita,Jan 1 1971,72.464751
5097,Value US$ per capita,Jan 1 1972,83.899327
5098,Value US$ per capita,Jan 1 1973,124.025275
5099,Value US$ per capita,Jan 1 1974,137.891566
5100,Value US$ per capita,Jan 1 1975,139.790845
5101,Value US$ per capita,Jan 1 1976,134.231221
5102,Value US$ per capita,Jan 1 1977,170.725506
5103,Value US$ per capita,Jan 1 1978,228.597851
5104,Value US$ per capita,Jan 1 1979,241.650138
5105,Value US$ per capita,Jan 1 1980,309.017772
5106,Value US$ per capita,Jan 1 1981,305.27405
5107,Value US$ per capita,Jan 1 1982,272.709898
5108,Value US$ per capita,Jan 1 1983,271.242358
5109,Value US$ per capita,Jan 1 1984,232.944372
5110,Value US$ per capita,Jan 1 1985,182.106568
5111,Value US$ per capita,Jan 1 1986,198.798515
5112,Value US$ per capita,Jan 1 1987,260.446841
5113,Value US$ per capita,Jan 1 1988,292.779526
5114,Value US$ per capita,Jan 1 1989,302.312764
5115,Value US$ per capita,Jan 1 1990,345.058731
5116,Value US$ per capita,Jan 1 1991,375.642924
5117,Value US$ per capita,Jan 1 1992,440.507547
5118,Value US$ per capita,Jan 1 1993,428.242771
5119,Value US$ per capita,Jan 1 1994,428.980764
5120,Value US$ per capita,Jan 1 1995,470.598036
5121,Value US$ per capita,Jan 1 1996,462.727898
5122,Value US$ per capita,Jan 1 1997,494.916398
5123,Value US$ per capita,Jan 1 1998,427.666658
5124,Value US$ per capita,Jan 1 1999,423.018541
5125,Value US$ per capita,Jan 1 2000,404.416176
5126,Value US$ per capita,Jan 1 2001,369.869469
5127,Value US$ per capita,Jan 1 2002,344.877356
5128,Value US$ per capita,Jan 1 2003,511.827831
5129,Value US$ per capita,Jan 1 2004,655.840934
5130,Value US$ per capita,Jan 1 2005,730.692726
5131,Value US$ per capita,Jan 1 2006,765.365167
5132,Value US$ per capita,Jan 1 2007,856.998275
5133,Value US$ per capita,Jan 1 2008,899.611004
5134,Value US$ per capita,Jan 1 2009,887.036585
5135,Value US$ per capita,Jan 1 2010,1137.054815
5136,Value US$ per capita,Jan 1 2011,1308.467343
5137,Value US$ per capita,Jan 1 2012,1254.003912
5138,Value US$ per capita,Jan 1 2013,1192.982766
5139,Value US$ per capita,Jan 1 2014,1223.333251
5140,Value US$ per capita,Jan 1 2015,1152.137039
5141,Value US$ per capita,Jan 1 2016,1043.554435
5142,Value US$ per capita,Jan 1 2017,1149.151207
5143,Value US$ per capita,Jan 1 2018,1221.123238
5144,Value US$ per capita,Jan 1 2019,1157.536027
