,symbol,date,price
5475,Value US$,Jan 1 1970,357.654462
5476,Value US$,Jan 1 1971,383.67648
5477,Value US$,Jan 1 1972,445.357128
5478,Value US$,Jan 1 1973,661.014668
5479,Value US$,Jan 1 1974,799.942922
5480,Value US$,Jan 1 1975,767.063122
5481,Value US$,Jan 1 1976,886.23869
5482,Value US$,Jan 1 1977,1027.299948
5483,Value US$,Jan 1 1978,1246.535313
5484,Value US$,Jan 1 1979,1576.019268
5485,Value US$,Jan 1 1980,1774.755043
5486,Value US$,Jan 1 1981,1769.080458
5487,Value US$,Jan 1 1982,1852.263606
5488,Value US$,Jan 1 1983,2047.815227
5489,Value US$,Jan 1 1984,2234.217776
5490,Value US$,Jan 1 1985,2000.114337
5491,Value US$,Jan 1 1986,1728.657441
5492,Value US$,Jan 1 1987,1947.779076
5493,Value US$,Jan 1 1988,2072.091482
5494,Value US$,Jan 1 1989,2216.216356
5495,Value US$,Jan 1 1990,2441.764559
5496,Value US$,Jan 1 1991,2653.076458
5497,Value US$,Jan 1 1992,3112.8111
5498,Value US$,Jan 1 1993,3433.169985
5499,Value US$,Jan 1 1994,3728.315598
5500,Value US$,Jan 1 1995,4335.923975
5501,Value US$,Jan 1 1996,4798.341352
5502,Value US$,Jan 1 1997,4645.462375
5503,Value US$,Jan 1 1998,3263.687261
5504,Value US$,Jan 1 1999,3492.669354
5505,Value US$,Jan 1 2000,4043.662051
5506,Value US$,Jan 1 2001,3913.428726
5507,Value US$,Jan 1 2002,4165.726104
5508,Value US$,Jan 1 2003,4461.847687
5509,Value US$,Jan 1 2004,4952.212975
5510,Value US$,Jan 1 2005,5587.037944
5511,Value US$,Jan 1 2006,6209.163511
5512,Value US$,Jan 1 2007,7243.520503
5513,Value US$,Jan 1 2008,8474.502146
5514,Value US$,Jan 1 2009,7292.488425
5515,Value US$,Jan 1 2010,9040.602977
5516,Value US$,Jan 1 2011,10399.36107
5517,Value US$,Jan 1 2012,10817.428675
5518,Value US$,Jan 1 2013,10970.074532
5519,Value US$,Jan 1 2014,11319.205031
5520,Value US$,Jan 1 2015,9955.243039
5521,Value US$,Jan 1 2016,9817.784881
5522,Value US$,Jan 1 2017,10259.211512
5523,Value US$,Jan 1 2018,11377.568227
5524,Value US$,Jan 1 2019,11414.293654
