,symbol,date,price
5575,Value US$,Jan 1 1970,53.850957
5576,Value US$,Jan 1 1971,63.360198
5577,Value US$,Jan 1 1972,70.486348
5578,Value US$,Jan 1 1973,80.230118
5579,Value US$,Jan 1 1974,73.967744
5580,Value US$,Jan 1 1975,108.181478
5581,Value US$,Jan 1 1976,125.897965
5582,Value US$,Jan 1 1977,143.987989
5583,Value US$,Jan 1 1978,163.976148
5584,Value US$,Jan 1 1979,203.595158
5585,Value US$,Jan 1 1980,232.882395
5586,Value US$,Jan 1 1981,210.507559
5587,Value US$,Jan 1 1982,180.936791
5588,Value US$,Jan 1 1983,155.706725
5589,Value US$,Jan 1 1984,150.047454
5590,Value US$,Jan 1 1985,160.924033
5591,Value US$,Jan 1 1986,231.24071
5592,Value US$,Jan 1 1987,269.850625
5593,Value US$,Jan 1 1988,275.397139
5594,Value US$,Jan 1 1989,271.996471
5595,Value US$,Jan 1 1990,323.28489
5596,Value US$,Jan 1 1991,348.312875
5597,Value US$,Jan 1 1992,349.734403
5598,Value US$,Jan 1 1993,336.185862
5599,Value US$,Jan 1 1994,239.253724
5600,Value US$,Jan 1 1995,295.953341
5601,Value US$,Jan 1 1996,319.968134
5602,Value US$,Jan 1 1997,284.499835
5603,Value US$,Jan 1 1998,316.10941
5604,Value US$,Jan 1 1999,323.168622
5605,Value US$,Jan 1 2000,269.871147
5606,Value US$,Jan 1 2001,307.436918
5607,Value US$,Jan 1 2002,334.836519
5608,Value US$,Jan 1 2003,392.52475
5609,Value US$,Jan 1 2004,440.168434
5610,Value US$,Jan 1 2005,488.828098
5611,Value US$,Jan 1 2006,522.578363
5612,Value US$,Jan 1 2007,596.690211
5613,Value US$,Jan 1 2008,690.882508
5614,Value US$,Jan 1 2009,698.218396
5615,Value US$,Jan 1 2010,709.581934
5616,Value US$,Jan 1 2011,836.509838
5617,Value US$,Jan 1 2012,778.669554
5618,Value US$,Jan 1 2013,805.221534
5619,Value US$,Jan 1 2014,849.663614
5620,Value US$,Jan 1 2015,750.903903
5621,Value US$,Jan 1 2016,781.655415
5622,Value US$,Jan 1 2017,830.0214
5623,Value US$,Jan 1 2018,894.805125
5624,Value US$,Jan 1 2019,886.794271
