,symbol,date,price
5625,Value US$,Jan 1 1970,809.018038
5626,Value US$,Jan 1 1971,854.212003
5627,Value US$,Jan 1 1972,952.534727
5628,Value US$,Jan 1 1973,1114.349599
5629,Value US$,Jan 1 1974,1210.120662
5630,Value US$,Jan 1 1975,1522.830812
5631,Value US$,Jan 1 1976,1687.498057
5632,Value US$,Jan 1 1977,1990.037216
5633,Value US$,Jan 1 1978,2510.504879
5634,Value US$,Jan 1 1979,3146.693051
5635,Value US$,Jan 1 1980,3900.699591
5636,Value US$,Jan 1 1981,3849.324294
5637,Value US$,Jan 1 1982,3789.137409
5638,Value US$,Jan 1 1983,3546.336514
5639,Value US$,Jan 1 1984,3321.451137
5640,Value US$,Jan 1 1985,3338.998201
5641,Value US$,Jan 1 1986,4247.624966
5642,Value US$,Jan 1 1987,5136.782405
5643,Value US$,Jan 1 1988,5870.605402
5644,Value US$,Jan 1 1989,6105.058852
5645,Value US$,Jan 1 1990,7277.825411
5646,Value US$,Jan 1 1991,7793.173498
5647,Value US$,Jan 1 1992,8495.917364
5648,Value US$,Jan 1 1993,7557.405482
5649,Value US$,Jan 1 1994,8297.866204
5650,Value US$,Jan 1 1995,9809.931053
5651,Value US$,Jan 1 1996,10009.577153
5652,Value US$,Jan 1 1997,9840.214466
5653,Value US$,Jan 1 1998,10265.489159
5654,Value US$,Jan 1 1999,10479.824635
5655,Value US$,Jan 1 2000,10296.944316
5656,Value US$,Jan 1 2001,10260.266704
5657,Value US$,Jan 1 2002,11203.768295
5658,Value US$,Jan 1 2003,13510.324102
5659,Value US$,Jan 1 2004,15004.267601
5660,Value US$,Jan 1 2005,15799.004545
5661,Value US$,Jan 1 2006,16693.190086
5662,Value US$,Jan 1 2007,19444.208558
5663,Value US$,Jan 1 2008,21923.515046
5664,Value US$,Jan 1 2009,20720.804617
5665,Value US$,Jan 1 2010,21099.519374
5666,Value US$,Jan 1 2011,22761.553667
5667,Value US$,Jan 1 2012,21843.104541
5668,Value US$,Jan 1 2013,23839.45352
5669,Value US$,Jan 1 2014,26294.92354
5670,Value US$,Jan 1 2015,24702.091882
5671,Value US$,Jan 1 2016,26302.545893
5672,Value US$,Jan 1 2017,29205.178362
5673,Value US$,Jan 1 2018,33345.951704
5674,Value US$,Jan 1 2019,33752.370516
