,symbol,date,price
10214,GDP,Jan 1 1970,280.735078
10215,GDP,Jan 1 1971,300.114752
10216,GDP,Jan 1 1972,322.097204
10217,GDP,Jan 1 1973,401.696747
10218,GDP,Jan 1 1974,472.969752
10219,GDP,Jan 1 1975,487.587529
10220,GDP,Jan 1 1976,490.125615
10221,GDP,Jan 1 1977,547.309016
10222,GDP,Jan 1 1978,669.121554
10223,GDP,Jan 1 1979,717.23456
10224,GDP,Jan 1 1980,798.592351
10225,GDP,Jan 1 1981,719.423127
10226,GDP,Jan 1 1982,695.147257
10227,GDP,Jan 1 1983,644.810718
10228,GDP,Jan 1 1984,558.400301
10229,GDP,Jan 1 1985,579.449952
10230,GDP,Jan 1 1986,606.049331
10231,GDP,Jan 1 1987,615.554812
10232,GDP,Jan 1 1988,623.948233
10233,GDP,Jan 1 1989,707.507047
10234,GDP,Jan 1 1990,762.829046
10235,GDP,Jan 1 1991,755.764997
10236,GDP,Jan 1 1992,752.529052
10237,GDP,Jan 1 1993,710.955634
10238,GDP,Jan 1 1994,490.160292
10239,GDP,Jan 1 1995,430.687514
10240,GDP,Jan 1 1996,470.302097
10241,GDP,Jan 1 1997,466.783109
10242,GDP,Jan 1 1998,436.862208
10243,GDP,Jan 1 1999,419.680961
10244,GDP,Jan 1 2000,455.159903
10245,GDP,Jan 1 2001,444.761396
10246,GDP,Jan 1 2002,494.555493
10247,GDP,Jan 1 2003,568.368453
10248,GDP,Jan 1 2004,697.453964
10249,GDP,Jan 1 2005,888.75195
10250,GDP,Jan 1 2006,1070.349763
10251,GDP,Jan 1 2007,1247.037743
10252,GDP,Jan 1 2008,1573.916697
10253,GDP,Jan 1 2009,1280.840614
10254,GDP,Jan 1 2010,1437.089729
10255,GDP,Jan 1 2011,1755.169394
10256,GDP,Jan 1 2012,1856.437677
10257,GDP,Jan 1 2013,1898.920821
10258,GDP,Jan 1 2014,1946.912012
10259,GDP,Jan 1 2015,1543.536282
10260,GDP,Jan 1 2016,1396.203504
10261,GDP,Jan 1 2017,1498.196222
10262,GDP,Jan 1 2018,1447.679998
10263,GDP,Jan 1 2019,1293.14068
