,symbol,date,price
6305,Value US$,Jan 1 1970,2342.528922
6306,Value US$,Jan 1 1971,2521.158551
6307,Value US$,Jan 1 1972,2915.984459
6308,Value US$,Jan 1 1973,3707.775921
6309,Value US$,Jan 1 1974,4734.566319
6310,Value US$,Jan 1 1975,4680.818922
6311,Value US$,Jan 1 1976,4682.425116
6312,Value US$,Jan 1 1977,4615.729308
6313,Value US$,Jan 1 1978,4932.9583
6314,Value US$,Jan 1 1979,5014.197655
6315,Value US$,Jan 1 1980,5413.624845
6316,Value US$,Jan 1 1981,5674.637591
6317,Value US$,Jan 1 1982,5295.65238
6318,Value US$,Jan 1 1983,4984.522951
6319,Value US$,Jan 1 1984,4813.753447
6320,Value US$,Jan 1 1985,3886.972511
6321,Value US$,Jan 1 1986,3839.54011
6322,Value US$,Jan 1 1987,4182.742191
6323,Value US$,Jan 1 1988,4754.16792
6324,Value US$,Jan 1 1989,4913.106142
6325,Value US$,Jan 1 1990,5180.502779
6326,Value US$,Jan 1 1991,4664.330933
6327,Value US$,Jan 1 1992,4252.432222
6328,Value US$,Jan 1 1993,3578.171324
6329,Value US$,Jan 1 1994,3494.756201
6330,Value US$,Jan 1 1995,3279.573071
6331,Value US$,Jan 1 1996,3162.247526
6332,Value US$,Jan 1 1997,2904.545374
6333,Value US$,Jan 1 1998,2271.504216
6334,Value US$,Jan 1 1999,2352.129568
6335,Value US$,Jan 1 2000,2100.846134
6336,Value US$,Jan 1 2001,1863.617642
6337,Value US$,Jan 1 2002,1887.055676
6338,Value US$,Jan 1 2003,2411.556186
6339,Value US$,Jan 1 2004,2789.605532
6340,Value US$,Jan 1 2005,2669.612496
6341,Value US$,Jan 1 2006,2583.646123
6342,Value US$,Jan 1 2007,2348.259352
6343,Value US$,Jan 1 2008,4200.363747
6344,Value US$,Jan 1 2009,5457.609541
6345,Value US$,Jan 1 2010,5924.758822
6346,Value US$,Jan 1 2011,8729.873347
6347,Value US$,Jan 1 2012,11887.335817
6348,Value US$,Jan 1 2013,11575.900135
6349,Value US$,Jan 1 2014,12909.602036
6350,Value US$,Jan 1 2015,10050.385547
6351,Value US$,Jan 1 2016,11280.97409
6352,Value US$,Jan 1 2017,12176.618389
6353,Value US$,Jan 1 2018,12952.541727
6354,Value US$,Jan 1 2019,12350.926128
