,symbol,date,price
6455,Value US$ per capita,Jan 1 1970,1489.844116
6456,Value US$ per capita,Jan 1 1971,1596.947412
6457,Value US$ per capita,Jan 1 1972,1794.157418
6458,Value US$ per capita,Jan 1 1973,1992.407947
6459,Value US$ per capita,Jan 1 1974,2484.640696
6460,Value US$ per capita,Jan 1 1975,2927.903845
6461,Value US$ per capita,Jan 1 1976,3264.131309
6462,Value US$ per capita,Jan 1 1977,3682.500999
6463,Value US$ per capita,Jan 1 1978,4485.418654
6464,Value US$ per capita,Jan 1 1979,5305.670489
6465,Value US$ per capita,Jan 1 1980,5856.439438
6466,Value US$ per capita,Jan 1 1981,6696.671923
6467,Value US$ per capita,Jan 1 1982,7090.682621
6468,Value US$ per capita,Jan 1 1983,6974.297614
6469,Value US$ per capita,Jan 1 1984,6962.0934
6470,Value US$ per capita,Jan 1 1985,7019.998958
6471,Value US$ per capita,Jan 1 1986,9023.793433
6472,Value US$ per capita,Jan 1 1987,9356.274284
6473,Value US$ per capita,Jan 1 1988,9632.708209
6474,Value US$ per capita,Jan 1 1989,10751.762558
6475,Value US$ per capita,Jan 1 1990,11284.853335
6476,Value US$ per capita,Jan 1 1991,11792.983769
6477,Value US$ per capita,Jan 1 1992,12334.758052
6478,Value US$ per capita,Jan 1 1993,13141.698779
6479,Value US$ per capita,Jan 1 1994,14157.362651
6480,Value US$ per capita,Jan 1 1995,14689.693136
6481,Value US$ per capita,Jan 1 1996,15523.448432
6482,Value US$ per capita,Jan 1 1997,16215.067278
6483,Value US$ per capita,Jan 1 1998,16622.24939
6484,Value US$ per capita,Jan 1 1999,16735.568839
6485,Value US$ per capita,Jan 1 2000,17343.317004
6486,Value US$ per capita,Jan 1 2001,17764.307028
6487,Value US$ per capita,Jan 1 2002,18102.321432
6488,Value US$ per capita,Jan 1 2003,18684.320123
6489,Value US$ per capita,Jan 1 2004,19150.78606
6490,Value US$ per capita,Jan 1 2005,18662.982556
6491,Value US$ per capita,Jan 1 2006,19342.977834
6492,Value US$ per capita,Jan 1 2007,20007.782369
6493,Value US$ per capita,Jan 1 2008,21144.830751
6494,Value US$ per capita,Jan 1 2009,20826.030919
6495,Value US$ per capita,Jan 1 2010,20985.13759
6496,Value US$ per capita,Jan 1 2011,20653.420177
6497,Value US$ per capita,Jan 1 2012,20981.955557
