,symbol,date,price
6498,Value US$,Jan 1 1970,3591.90318
6499,Value US$,Jan 1 1971,3977.312957
6500,Value US$,Jan 1 1972,4430.138262
6501,Value US$,Jan 1 1973,4520.932042
6502,Value US$,Jan 1 1974,5123.457125
6503,Value US$,Jan 1 1975,6269.208351
6504,Value US$,Jan 1 1976,5949.882262
6505,Value US$,Jan 1 1977,6093.111854
6506,Value US$,Jan 1 1978,6031.130022
6507,Value US$,Jan 1 1979,7335.157012
6508,Value US$,Jan 1 1980,8146.83297
6509,Value US$,Jan 1 1981,6611.910775
6510,Value US$,Jan 1 1982,6049.419142
6511,Value US$,Jan 1 1983,5433.486942
6512,Value US$,Jan 1 1984,5177.767244
6513,Value US$,Jan 1 1985,5480.253177
6514,Value US$,Jan 1 1986,7586.687196
6515,Value US$,Jan 1 1987,9250.168816
6516,Value US$,Jan 1 1988,12665.363741
6517,Value US$,Jan 1 1989,13101.038907
6518,Value US$,Jan 1 1990,14849.711374
6519,Value US$,Jan 1 1991,15222.218239
6520,Value US$,Jan 1 1992,16356.566357
6521,Value US$,Jan 1 1993,15382.228288
6522,Value US$,Jan 1 1994,16132.128629
6523,Value US$,Jan 1 1995,18771.712741
6524,Value US$,Jan 1 1996,18194.958065
6525,Value US$,Jan 1 1997,17437.663754
6526,Value US$,Jan 1 1998,17093.016529
6527,Value US$,Jan 1 1999,17137.572001
6528,Value US$,Jan 1 2000,15701.919221
6529,Value US$,Jan 1 2001,14875.651611
6530,Value US$,Jan 1 2002,16508.991935
6531,Value US$,Jan 1 2003,21393.516504
6532,Value US$,Jan 1 2004,25267.818327
6533,Value US$,Jan 1 2005,26374.954584
6534,Value US$,Jan 1 2006,29062.474896
6535,Value US$,Jan 1 2007,36198.701034
6536,Value US$,Jan 1 2008,36608.255185
6537,Value US$,Jan 1 2009,34666.390697
6538,Value US$,Jan 1 2010,36900.300127
6539,Value US$,Jan 1 2011,40216.849473
6540,Value US$,Jan 1 2012,37059.632614
6541,Value US$,Jan 1 2013,38406.073605
6542,Value US$,Jan 1 2014,39668.818713
6543,Value US$,Jan 1 2015,32426.50797
6544,Value US$,Jan 1 2016,32830.689564
6545,Value US$,Jan 1 2017,34128.634001
6546,Value US$,Jan 1 2018,36334.842513
6547,Value US$,Jan 1 2019,34941.501541
