,symbol,date,price
11042,GDP,Jan 1 1970,2680.743381
11043,GDP,Jan 1 1971,3001.27893
11044,GDP,Jan 1 1972,3482.369536
11045,GDP,Jan 1 1973,4111.033581
11046,GDP,Jan 1 1974,4522.090619
11047,GDP,Jan 1 1975,5376.987426
11048,GDP,Jan 1 1976,5452.994496
11049,GDP,Jan 1 1977,6058.972438
11050,GDP,Jan 1 1978,7330.161285
11051,GDP,Jan 1 1979,9159.727824
11052,GDP,Jan 1 1980,11217.86783
11053,GDP,Jan 1 1981,10610.139957
11054,GDP,Jan 1 1982,10080.789126
11055,GDP,Jan 1 1983,9600.717714
11056,GDP,Jan 1 1984,9299.635046
11057,GDP,Jan 1 1985,9813.412769
11058,GDP,Jan 1 1986,12366.523321
11059,GDP,Jan 1 1987,15197.870721
11060,GDP,Jan 1 1988,17851.697556
11061,GDP,Jan 1 1989,18231.391921
11062,GDP,Jan 1 1990,21589.607092
11063,GDP,Jan 1 1991,22137.998767
11064,GDP,Jan 1 1992,21045.379413
11065,GDP,Jan 1 1993,18407.503716
11066,GDP,Jan 1 1994,19801.079939
11067,GDP,Jan 1 1995,23387.644774
11068,GDP,Jan 1 1996,24615.313195
11069,GDP,Jan 1 1997,25700.667052
11070,GDP,Jan 1 1998,26804.958789
11071,GDP,Jan 1 1999,27300.219704
11072,GDP,Jan 1 2000,26715.353644
11073,GDP,Jan 1 2001,26400.185563
11074,GDP,Jan 1 2002,28809.467477
11075,GDP,Jan 1 2003,33870.269964
11076,GDP,Jan 1 2004,39455.677945
11077,GDP,Jan 1 2005,41538.614932
11078,GDP,Jan 1 2006,44379.84838
11079,GDP,Jan 1 2007,50706.203078
11080,GDP,Jan 1 2008,50194.423784
11081,GDP,Jan 1 2009,41706.153899
11082,GDP,Jan 1 2010,42892.475204
11083,GDP,Jan 1 2011,46612.487505
11084,GDP,Jan 1 2012,46173.415707
11085,GDP,Jan 1 2013,47656.128318
11086,GDP,Jan 1 2014,50237.287846
11087,GDP,Jan 1 2015,46127.840043
11088,GDP,Jan 1 2016,43803.957791
11089,GDP,Jan 1 2017,44629.542774
11090,GDP,Jan 1 2018,47748.359282
11091,GDP,Jan 1 2019,46680.286517
