,symbol,date,price
7078,Value US$ per capita,Jan 1 1970,394.294789
7079,Value US$ per capita,Jan 1 1971,429.932038
7080,Value US$ per capita,Jan 1 1972,502.344035
7081,Value US$ per capita,Jan 1 1973,741.847675
7082,Value US$ per capita,Jan 1 1974,819.815406
7083,Value US$ per capita,Jan 1 1975,739.284207
7084,Value US$ per capita,Jan 1 1976,775.629359
7085,Value US$ per capita,Jan 1 1977,832.624977
7086,Value US$ per capita,Jan 1 1978,986.006708
7087,Value US$ per capita,Jan 1 1979,1105.216829
7088,Value US$ per capita,Jan 1 1980,1194.75668
7089,Value US$ per capita,Jan 1 1981,1141.437313
7090,Value US$ per capita,Jan 1 1982,1053.393173
7091,Value US$ per capita,Jan 1 1983,1021.854733
7092,Value US$ per capita,Jan 1 1984,984.895413
7093,Value US$ per capita,Jan 1 1985,907.394836
7094,Value US$ per capita,Jan 1 1986,975.223401
7095,Value US$ per capita,Jan 1 1987,1129.227835
7096,Value US$ per capita,Jan 1 1988,1281.254066
7097,Value US$ per capita,Jan 1 1989,1213.195242
7098,Value US$ per capita,Jan 1 1990,1075.88899
7099,Value US$ per capita,Jan 1 1991,1236.033376
7100,Value US$ per capita,Jan 1 1992,1368.169258
7101,Value US$ per capita,Jan 1 1993,1519.607185
7102,Value US$ per capita,Jan 1 1994,1587.677404
7103,Value US$ per capita,Jan 1 1995,1410.470772
7104,Value US$ per capita,Jan 1 1996,1465.077087
7105,Value US$ per capita,Jan 1 1997,1366.255479
7106,Value US$ per capita,Jan 1 1998,1019.062137
7107,Value US$ per capita,Jan 1 1999,908.044071
7108,Value US$ per capita,Jan 1 2000,904.512792
7109,Value US$ per capita,Jan 1 2001,776.124105
7110,Value US$ per capita,Jan 1 2002,755.383989
7111,Value US$ per capita,Jan 1 2003,902.485747
7112,Value US$ per capita,Jan 1 2004,993.490482
7113,Value US$ per capita,Jan 1 2005,1132.4456
7114,Value US$ per capita,Jan 1 2006,1256.964587
7115,Value US$ per capita,Jan 1 2007,1401.925511
7116,Value US$ per capita,Jan 1 2008,1672.958011
7117,Value US$ per capita,Jan 1 2009,1626.286823
7118,Value US$ per capita,Jan 1 2010,1949.356699
7119,Value US$ per capita,Jan 1 2011,2406.940506
7120,Value US$ per capita,Jan 1 2012,2790.612294
7121,Value US$ per capita,Jan 1 2013,2729.879391
7122,Value US$ per capita,Jan 1 2014,2920.801888
7123,Value US$ per capita,Jan 1 2015,2679.334298
7124,Value US$ per capita,Jan 1 2016,2509.607379
7125,Value US$ per capita,Jan 1 2017,2695.259466
7126,Value US$ per capita,Jan 1 2018,2813.728172
7127,Value US$ per capita,Jan 1 2019,2845.190636
