,symbol,date,price
7228,Value US$ per capita,Jan 1 1970,207.049795
7229,Value US$ per capita,Jan 1 1971,222.762758
7230,Value US$ per capita,Jan 1 1972,234.229009
7231,Value US$ per capita,Jan 1 1973,286.287283
7232,Value US$ per capita,Jan 1 1974,380.351272
7233,Value US$ per capita,Jan 1 1975,399.708961
7234,Value US$ per capita,Jan 1 1976,446.297957
7235,Value US$ per capita,Jan 1 1977,498.968659
7236,Value US$ per capita,Jan 1 1978,561.076143
7237,Value US$ per capita,Jan 1 1979,661.262453
7238,Value US$ per capita,Jan 1 1980,759.190011
7239,Value US$ per capita,Jan 1 1981,811.434405
7240,Value US$ per capita,Jan 1 1982,822.603685
7241,Value US$ per capita,Jan 1 1983,715.78037
7242,Value US$ per capita,Jan 1 1984,658.737003
7243,Value US$ per capita,Jan 1 1985,627.390446
7244,Value US$ per capita,Jan 1 1986,593.534952
7245,Value US$ per capita,Jan 1 1987,642.283007
7246,Value US$ per capita,Jan 1 1988,713.927168
7247,Value US$ per capita,Jan 1 1989,781.74929
7248,Value US$ per capita,Jan 1 1990,793.198961
7249,Value US$ per capita,Jan 1 1991,793.013091
7250,Value US$ per capita,Jan 1 1992,902.725788
7251,Value US$ per capita,Jan 1 1993,904.548676
7252,Value US$ per capita,Jan 1 1994,1041.387273
7253,Value US$ per capita,Jan 1 1995,1176.790785
7254,Value US$ per capita,Jan 1 1996,1285.549328
7255,Value US$ per capita,Jan 1 1997,1249.248529
7256,Value US$ per capita,Jan 1 1998,966.987987
7257,Value US$ per capita,Jan 1 1999,1087.37862
7258,Value US$ per capita,Jan 1 2000,1038.902663
7259,Value US$ per capita,Jan 1 2001,957.189001
7260,Value US$ per capita,Jan 1 2002,999.906596
7261,Value US$ per capita,Jan 1 2003,1010.309015
7262,Value US$ per capita,Jan 1 2004,1078.628624
7263,Value US$ per capita,Jan 1 2005,1193.977472
7264,Value US$ per capita,Jan 1 2006,1390.517968
7265,Value US$ per capita,Jan 1 2007,1670.590475
7266,Value US$ per capita,Jan 1 2008,1916.297243
7267,Value US$ per capita,Jan 1 2009,1821.524382
7268,Value US$ per capita,Jan 1 2010,2124.058456
7269,Value US$ per capita,Jan 1 2011,2345.325681
7270,Value US$ per capita,Jan 1 2012,2572.629613
7271,Value US$ per capita,Jan 1 2013,2749.387535
7272,Value US$ per capita,Jan 1 2014,2831.319469
7273,Value US$ per capita,Jan 1 2015,2867.149473
7274,Value US$ per capita,Jan 1 2016,2941.217428
7275,Value US$ per capita,Jan 1 2017,2981.942592
7276,Value US$ per capita,Jan 1 2018,3102.726959
7277,Value US$ per capita,Jan 1 2019,3323.767006
