,symbol,date,price
7278,Value US$,Jan 1 1970,866.34435
7279,Value US$,Jan 1 1971,951.888432
7280,Value US$,Jan 1 1972,1044.283914
7281,Value US$,Jan 1 1973,1226.370413
7282,Value US$,Jan 1 1974,1364.846266
7283,Value US$,Jan 1 1975,1441.028
7284,Value US$,Jan 1 1976,1592.702901
7285,Value US$,Jan 1 1977,1750.861587
7286,Value US$,Jan 1 1978,1964.980051
7287,Value US$,Jan 1 1979,2179.449027
7288,Value US$,Jan 1 1980,1663.146651
7289,Value US$,Jan 1 1981,1561.311143
7290,Value US$,Jan 1 1982,1878.78534
7291,Value US$,Jan 1 1983,2153.408887
7292,Value US$,Jan 1 1984,2138.291457
7293,Value US$,Jan 1 1985,1974.836061
7294,Value US$,Jan 1 1986,2043.377696
7295,Value US$,Jan 1 1987,1758.395105
7296,Value US$,Jan 1 1988,1885.884975
7297,Value US$,Jan 1 1989,2244.919682
7298,Value US$,Jan 1 1990,1739.978287
7299,Value US$,Jan 1 1991,2249.054718
7300,Value US$,Jan 1 1992,2473.24216
7301,Value US$,Jan 1 1993,2514.53556
7302,Value US$,Jan 1 1994,2889.991913
7303,Value US$,Jan 1 1995,3699.916816
7304,Value US$,Jan 1 1996,4159.819046
7305,Value US$,Jan 1 1997,4134.358596
7306,Value US$,Jan 1 1998,4529.740386
7307,Value US$,Jan 1 1999,4408.610545
7308,Value US$,Jan 1 2000,4466.681097
7309,Value US$,Jan 1 2001,4954.777177
7310,Value US$,Jan 1 2002,5172.185773
7311,Value US$,Jan 1 2003,5666.449674
7312,Value US$,Jan 1 2004,6643.4951
7313,Value US$,Jan 1 2005,7979.001804
7314,Value US$,Jan 1 2006,8985.310189
7315,Value US$,Jan 1 2007,11186.008254
7316,Value US$,Jan 1 2008,13911.485007
7317,Value US$,Jan 1 2009,11465.701899
7318,Value US$,Jan 1 2010,12518.573457
7319,Value US$,Jan 1 2011,13798.288761
7320,Value US$,Jan 1 2012,13040.955763
7321,Value US$,Jan 1 2013,13654.09496
7322,Value US$,Jan 1 2014,14241.386769
7323,Value US$,Jan 1 2015,12562.731213
7324,Value US$,Jan 1 2016,12441.223117
7325,Value US$,Jan 1 2017,13872.466907
7326,Value US$,Jan 1 2018,15490.094258
7327,Value US$,Jan 1 2019,15727.030606
