,symbol,date,price
7328,Value US$,Jan 1 1970,937.194293
7329,Value US$,Jan 1 1971,1057.955919
7330,Value US$,Jan 1 1972,1278.359216
7331,Value US$,Jan 1 1973,1694.321961
7332,Value US$,Jan 1 1974,1936.675332
7333,Value US$,Jan 1 1975,2110.084083
7334,Value US$,Jan 1 1976,2186.04663
7335,Value US$,Jan 1 1977,2272.999981
7336,Value US$,Jan 1 1978,2459.231152
7337,Value US$,Jan 1 1979,2755.442564
7338,Value US$,Jan 1 1980,3373.548823
7339,Value US$,Jan 1 1981,3256.137202
7340,Value US$,Jan 1 1982,3092.638085
7341,Value US$,Jan 1 1983,2750.809064
7342,Value US$,Jan 1 1984,2541.844231
7343,Value US$,Jan 1 1985,2730.839625
7344,Value US$,Jan 1 1986,3903.126291
7345,Value US$,Jan 1 1987,4859.928761
7346,Value US$,Jan 1 1988,5691.792616
7347,Value US$,Jan 1 1989,6126.307076
7348,Value US$,Jan 1 1990,7955.066355
7349,Value US$,Jan 1 1991,8999.241631
7350,Value US$,Jan 1 1992,10812.400645
7351,Value US$,Jan 1 1993,9504.548424
7352,Value US$,Jan 1 1994,9924.539512
7353,Value US$,Jan 1 1995,11705.128169
7354,Value US$,Jan 1 1996,12101.397603
7355,Value US$,Jan 1 1997,11501.48514
7356,Value US$,Jan 1 1998,12135.459182
7357,Value US$,Jan 1 1999,12426.131477
7358,Value US$,Jan 1 2000,11489.689488
7359,Value US$,Jan 1 2001,11748.618933
7360,Value US$,Jan 1 2002,12917.616222
7361,Value US$,Jan 1 2003,15806.511777
7362,Value US$,Jan 1 2004,18054.067763
7363,Value US$,Jan 1 2005,18763.431543
7364,Value US$,Jan 1 2006,19783.209096
7365,Value US$,Jan 1 2007,22715.901567
7366,Value US$,Jan 1 2008,24761.370712
7367,Value US$,Jan 1 2009,22980.542144
7368,Value US$,Jan 1 2010,22449.943962
7369,Value US$,Jan 1 2011,23160.982628
7370,Value US$,Jan 1 2012,20542.493035
7371,Value US$,Jan 1 2013,21614.53721
7372,Value US$,Jan 1 2014,22037.950333
7373,Value US$,Jan 1 2015,19223.297352
7374,Value US$,Jan 1 2016,19978.234818
7375,Value US$,Jan 1 2017,21515.021025
7376,Value US$,Jan 1 2018,23626.029325
7377,Value US$,Jan 1 2019,23350.353854
