,symbol,date,price
7428,Value US$,Jan 1 1970,4921.157092
7429,Value US$,Jan 1 1971,5975.368501
7430,Value US$,Jan 1 1972,7893.209859
7431,Value US$,Jan 1 1973,10571.044695
7432,Value US$,Jan 1 1974,12596.550117
7433,Value US$,Jan 1 1975,15028.75011
7434,Value US$,Jan 1 1976,18456.669185
7435,Value US$,Jan 1 1977,19249.099462
7436,Value US$,Jan 1 1978,20483.089928
7437,Value US$,Jan 1 1979,27454.966695
7438,Value US$,Jan 1 1980,35048.278746
7439,Value US$,Jan 1 1981,34971.561023
7440,Value US$,Jan 1 1982,27455.086241
7441,Value US$,Jan 1 1983,20965.937006
7442,Value US$,Jan 1 1984,20131.536344
7443,Value US$,Jan 1 1985,16590.624453
7444,Value US$,Jan 1 1986,12704.334435
7445,Value US$,Jan 1 1987,12901.704074
7446,Value US$,Jan 1 1988,13611.629295
7447,Value US$,Jan 1 1989,14052.528943
7448,Value US$,Jan 1 1990,15454.082617
7449,Value US$,Jan 1 1991,14124.29283
7450,Value US$,Jan 1 1992,15434.45906
7451,Value US$,Jan 1 1993,14270.973274
7452,Value US$,Jan 1 1994,14544.091207
7453,Value US$,Jan 1 1995,15849.720295
7454,Value US$,Jan 1 1996,17337.422391
7455,Value US$,Jan 1 1997,21104.724451
7456,Value US$,Jan 1 1998,18593.54797
7457,Value US$,Jan 1 1999,21723.699963
7458,Value US$,Jan 1 2000,29976.117039
7459,Value US$,Jan 1 2001,28517.267205
7460,Value US$,Jan 1 2002,30214.85901
7461,Value US$,Jan 1 2003,34517.755092
7462,Value US$,Jan 1 2004,42124.966369
7463,Value US$,Jan 1 2005,51455.599924
7464,Value US$,Jan 1 2006,59529.966615
7465,Value US$,Jan 1 2007,65421.656807
7466,Value US$,Jan 1 2008,80234.436851
7467,Value US$,Jan 1 2009,59094.523664
7468,Value US$,Jan 1 2010,67403.194249
7469,Value US$,Jan 1 2011,82409.577333
7470,Value US$,Jan 1 2012,85076.180237
7471,Value US$,Jan 1 2013,85050.866345
7472,Value US$,Jan 1 2014,83858.476855
7473,Value US$,Jan 1 2015,63039.063486
7474,Value US$,Jan 1 2016,57163.075685
7475,Value US$,Jan 1 2017,61264.350017
7476,Value US$,Jan 1 2018,68793.660782
7477,Value US$,Jan 1 2019,64781.733197
