,symbol,date,price
7837,Value US$ per capita,Jan 1 1970,288.697542
7838,Value US$ per capita,Jan 1 1971,337.821475
7839,Value US$ per capita,Jan 1 1972,388.277136
7840,Value US$ per capita,Jan 1 1973,508.427552
7841,Value US$ per capita,Jan 1 1974,569.364906
7842,Value US$ per capita,Jan 1 1975,564.64342
7843,Value US$ per capita,Jan 1 1976,510.006172
7844,Value US$ per capita,Jan 1 1977,586.452559
7845,Value US$ per capita,Jan 1 1978,642.437357
7846,Value US$ per capita,Jan 1 1979,725.205831
7847,Value US$ per capita,Jan 1 1980,741.063953
7848,Value US$ per capita,Jan 1 1981,692.619163
7849,Value US$ per capita,Jan 1 1982,705.995984
7850,Value US$ per capita,Jan 1 1983,647.462721
7851,Value US$ per capita,Jan 1 1984,628.510007
7852,Value US$ per capita,Jan 1 1985,547.526279
7853,Value US$ per capita,Jan 1 1986,576.330955
7854,Value US$ per capita,Jan 1 1987,636.132539
7855,Value US$ per capita,Jan 1 1988,754.964152
7856,Value US$ per capita,Jan 1 1989,695.046729
7857,Value US$ per capita,Jan 1 1990,707.940649
7858,Value US$ per capita,Jan 1 1991,701.327625
7859,Value US$ per capita,Jan 1 1992,732.66421
7860,Value US$ per capita,Jan 1 1993,729.938191
7861,Value US$ per capita,Jan 1 1994,1208.229437
7862,Value US$ per capita,Jan 1 1995,1184.968747
7863,Value US$ per capita,Jan 1 1996,1325.071595
7864,Value US$ per capita,Jan 1 1997,1435.140783
7865,Value US$ per capita,Jan 1 1998,1338.970174
7866,Value US$ per capita,Jan 1 1999,1359.921578
7867,Value US$ per capita,Jan 1 2000,1362.086583
7868,Value US$ per capita,Jan 1 2001,1403.848209
7869,Value US$ per capita,Jan 1 2002,1539.874132
7870,Value US$ per capita,Jan 1 2003,1863.665645
7871,Value US$ per capita,Jan 1 2004,2216.40368
7872,Value US$ per capita,Jan 1 2005,2485.505119
7873,Value US$ per capita,Jan 1 2006,2562.396243
7874,Value US$ per capita,Jan 1 2007,3636.470394
7875,Value US$ per capita,Jan 1 2008,3682.819859
7876,Value US$ per capita,Jan 1 2009,3332.425388
7877,Value US$ per capita,Jan 1 2010,3722.141969
7878,Value US$ per capita,Jan 1 2011,4059.731231
7879,Value US$ per capita,Jan 1 2012,3995.001513
7880,Value US$ per capita,Jan 1 2013,4005.736315
7881,Value US$ per capita,Jan 1 2014,4061.817938
7882,Value US$ per capita,Jan 1 2015,4066.318256
7883,Value US$ per capita,Jan 1 2016,4223.597309
7884,Value US$ per capita,Jan 1 2017,4219.942732
7885,Value US$ per capita,Jan 1 2018,4249.999227
7886,Value US$ per capita,Jan 1 2019,4285.485317
