,symbol,date,price
7987,Value US$ per capita,Jan 1 1970,921.345943
7988,Value US$ per capita,Jan 1 1971,1177.716229
7989,Value US$ per capita,Jan 1 1972,1511.702168
7990,Value US$ per capita,Jan 1 1973,2226.99744
7991,Value US$ per capita,Jan 1 1974,6437.416084
7992,Value US$ per capita,Jan 1 1975,6304.09679
7993,Value US$ per capita,Jan 1 1976,8202.777489
7994,Value US$ per capita,Jan 1 1977,9038.952901
7995,Value US$ per capita,Jan 1 1978,9282.752794
7996,Value US$ per capita,Jan 1 1979,12241.119448
7997,Value US$ per capita,Jan 1 1980,16977.772762
7998,Value US$ per capita,Jan 1 1981,17871.932041
7999,Value US$ per capita,Jan 1 1982,13945.069731
8000,Value US$ per capita,Jan 1 1983,11040.015969
8001,Value US$ per capita,Jan 1 1984,9633.052497
8002,Value US$ per capita,Jan 1 1985,7919.354042
8003,Value US$ per capita,Jan 1 1986,6298.726027
8004,Value US$ per capita,Jan 1 1987,5924.376929
8005,Value US$ per capita,Jan 1 1988,5848.568044
8006,Value US$ per capita,Jan 1 1989,6077.845539
8007,Value US$ per capita,Jan 1 1990,7236.348968
8008,Value US$ per capita,Jan 1 1991,7872.730771
8009,Value US$ per capita,Jan 1 1992,7921.513303
8010,Value US$ per capita,Jan 1 1993,7475.563753
8011,Value US$ per capita,Jan 1 1994,7411.41155
8012,Value US$ per capita,Jan 1 1995,7680.328124
8013,Value US$ per capita,Jan 1 1996,8324.693898
8014,Value US$ per capita,Jan 1 1997,8540.264885
8015,Value US$ per capita,Jan 1 1998,7419.158431
8016,Value US$ per capita,Jan 1 1999,8007.965062
8017,Value US$ per capita,Jan 1 2000,9171.330489
8018,Value US$ per capita,Jan 1 2001,8684.655345
8019,Value US$ per capita,Jan 1 2002,8695.401775
8020,Value US$ per capita,Jan 1 2003,9609.976004
8021,Value US$ per capita,Jan 1 2004,11185.133368
8022,Value US$ per capita,Jan 1 2005,13791.511447
8023,Value US$ per capita,Jan 1 2006,15384.740292
8024,Value US$ per capita,Jan 1 2007,16516.62653
8025,Value US$ per capita,Jan 1 2008,20078.255377
8026,Value US$ per capita,Jan 1 2009,16113.143741
8027,Value US$ per capita,Jan 1 2010,19262.552519
8028,Value US$ per capita,Jan 1 2011,23745.882258
8029,Value US$ per capita,Jan 1 2012,25243.607193
8030,Value US$ per capita,Jan 1 2013,24845.123837
8031,Value US$ per capita,Jan 1 2014,24464.217304
8032,Value US$ per capita,Jan 1 2015,20627.932782
8033,Value US$ per capita,Jan 1 2016,19878.761386
8034,Value US$ per capita,Jan 1 2017,20802.465306
8035,Value US$ per capita,Jan 1 2018,23337.018242
8036,Value US$ per capita,Jan 1 2019,23139.802114
