,symbol,date,price
8267,Value US$ per capita,Jan 1 2005,21174.696918
8268,Value US$ per capita,Jan 1 2006,22672.797958
8269,Value US$ per capita,Jan 1 2007,24173.622046
8270,Value US$ per capita,Jan 1 2008,25572.405989
8271,Value US$ per capita,Jan 1 2009,25529.702499
8272,Value US$ per capita,Jan 1 2010,26237.768048
8273,Value US$ per capita,Jan 1 2011,26700.410429
8274,Value US$ per capita,Jan 1 2012,27202.479475
8275,Value US$ per capita,Jan 1 2013,27217.611597
8276,Value US$ per capita,Jan 1 2014,27213.009592
8277,Value US$ per capita,Jan 1 2015,26681.960093
8278,Value US$ per capita,Jan 1 2016,26271.001742
8279,Value US$ per capita,Jan 1 2017,24466.750314
8280,Value US$ per capita,Jan 1 2018,22746.781116
8281,Value US$ per capita,Jan 1 2019,23803.906766
