,symbol,date,price
10314,GDP,Jan 1 1970,783.279531
10315,GDP,Jan 1 1971,843.02557
10316,GDP,Jan 1 1972,861.984076
10317,GDP,Jan 1 1973,1147.805369
10318,GDP,Jan 1 1974,1402.703496
10319,GDP,Jan 1 1975,1416.85187
10320,GDP,Jan 1 1976,1328.06277
10321,GDP,Jan 1 1977,1441.14355
10322,GDP,Jan 1 1978,1618.469273
10323,GDP,Jan 1 1979,1945.762246
10324,GDP,Jan 1 1980,2725.217996
10325,GDP,Jan 1 1981,2723.779749
10326,GDP,Jan 1 1982,2431.281254
10327,GDP,Jan 1 1983,2632.203151
10328,GDP,Jan 1 1984,2267.307532
10329,GDP,Jan 1 1985,1692.352688
10330,GDP,Jan 1 1986,1888.961643
10331,GDP,Jan 1 1987,2418.315238
10332,GDP,Jan 1 1988,2543.866656
10333,GDP,Jan 1 1989,2610.933926
10334,GDP,Jan 1 1990,2974.067943
10335,GDP,Jan 1 1991,3110.672688
10336,GDP,Jan 1 1992,3296.786814
10337,GDP,Jan 1 1993,3210.62518
10338,GDP,Jan 1 1994,3273.208469
10339,GDP,Jan 1 1995,3566.479465
10340,GDP,Jan 1 1996,3338.776448
10341,GDP,Jan 1 1997,3398.531754
10342,GDP,Jan 1 1998,3025.155703
10343,GDP,Jan 1 1999,2969.702415
10344,GDP,Jan 1 2000,2927.817778
10345,GDP,Jan 1 2001,2584.401298
10346,GDP,Jan 1 2002,2399.630732
10347,GDP,Jan 1 2003,3574.968323
10348,GDP,Jan 1 2004,4594.950013
10349,GDP,Jan 1 2005,5114.146099
10350,GDP,Jan 1 2006,5321.736928
10351,GDP,Jan 1 2007,5787.281549
10352,GDP,Jan 1 2008,5482.684566
10353,GDP,Jan 1 2009,5566.905994
10354,GDP,Jan 1 2010,6956.175667
10355,GDP,Jan 1 2011,7622.077455
10356,GDP,Jan 1 2012,7167.058305
10357,GDP,Jan 1 2013,6558.154991
10358,GDP,Jan 1 2014,6223.835788
10359,GDP,Jan 1 2015,5549.792846
10360,GDP,Jan 1 2016,5142.158436
10361,GDP,Jan 1 2017,5953.624869
10362,GDP,Jan 1 2018,6198.772849
10363,GDP,Jan 1 2019,5841.105567
