,symbol,date,price
8504,Value US$,Jan 1 1970,1209.788513
8505,Value US$,Jan 1 1971,1360.40799
8506,Value US$,Jan 1 1972,1705.955234
8507,Value US$,Jan 1 1973,2242.714522
8508,Value US$,Jan 1 1974,2741.911332
8509,Value US$,Jan 1 1975,3198.776054
8510,Value US$,Jan 1 1976,3266.796521
8511,Value US$,Jan 1 1977,3611.928088
8512,Value US$,Jan 1 1978,4335.958677
8513,Value US$,Jan 1 1979,5739.626635
8514,Value US$,Jan 1 1980,6173.948765
8515,Value US$,Jan 1 1981,5341.322278
8516,Value US$,Jan 1 1982,5129.760732
8517,Value US$,Jan 1 1983,4450.149573
8518,Value US$,Jan 1 1984,4460.192496
8519,Value US$,Jan 1 1985,4667.646097
8520,Value US$,Jan 1 1986,6468.015194
8521,Value US$,Jan 1 1987,8182.353428
8522,Value US$,Jan 1 1988,9635.579673
8523,Value US$,Jan 1 1989,10603.09918
8524,Value US$,Jan 1 1990,13686.051666
8525,Value US$,Jan 1 1991,14686.007227
8526,Value US$,Jan 1 1992,16008.407647
8527,Value US$,Jan 1 1993,13282.573616
8528,Value US$,Jan 1 1994,13377.695143
8529,Value US$,Jan 1 1995,15447.403492
8530,Value US$,Jan 1 1996,16102.398882
8531,Value US$,Jan 1 1997,14739.536493
8532,Value US$,Jan 1 1998,15403.03039
8533,Value US$,Jan 1 1999,15688.617755
8534,Value US$,Jan 1 2000,14620.472435
8535,Value US$,Jan 1 2001,15181.265404
8536,Value US$,Jan 1 2002,16828.086509
8537,Value US$,Jan 1 2003,21256.633324
8538,Value US$,Jan 1 2004,24640.510832
8539,Value US$,Jan 1 2005,26198.999389
8540,Value US$,Jan 1 2006,28153.806454
8541,Value US$,Jan 1 2007,32403.379015
8542,Value US$,Jan 1 2008,35279.509315
8543,Value US$,Jan 1 2009,31888.800508
8544,Value US$,Jan 1 2010,30272.561419
8545,Value US$,Jan 1 2011,31406.959616
8546,Value US$,Jan 1 2012,28149.892744
8547,Value US$,Jan 1 2013,28867.279179
8548,Value US$,Jan 1 2014,29274.467489
8549,Value US$,Jan 1 2015,25606.812754
8550,Value US$,Jan 1 2016,26420.043714
8551,Value US$,Jan 1 2017,28137.441564
8552,Value US$,Jan 1 2018,30457.631012
8553,Value US$,Jan 1 2019,29815.717809
