,symbol,date,price
8616,Value US$ per capita,Jan 1 1970,89.555734
8617,Value US$ per capita,Jan 1 1971,94.295873
8618,Value US$ per capita,Jan 1 1972,113.358247
8619,Value US$ per capita,Jan 1 1973,141.405862
8620,Value US$ per capita,Jan 1 1974,166.937535
8621,Value US$ per capita,Jan 1 1975,201.553128
8622,Value US$ per capita,Jan 1 1976,243.270399
8623,Value US$ per capita,Jan 1 1977,276.545093
8624,Value US$ per capita,Jan 1 1978,287.760363
8625,Value US$ per capita,Jan 1 1979,307.308884
8626,Value US$ per capita,Jan 1 1980,334.848075
8627,Value US$ per capita,Jan 1 1981,390.000053
8628,Value US$ per capita,Jan 1 1982,285.216804
8629,Value US$ per capita,Jan 1 1983,248.540503
8630,Value US$ per capita,Jan 1 1984,324.609299
8631,Value US$ per capita,Jan 1 1985,295.296361
8632,Value US$ per capita,Jan 1 1986,388.909684
8633,Value US$ per capita,Jan 1 1987,489.965271
8634,Value US$ per capita,Jan 1 1988,473.961237
8635,Value US$ per capita,Jan 1 1989,453.760871
8636,Value US$ per capita,Jan 1 1990,493.234659
8637,Value US$ per capita,Jan 1 1991,430.577214
8638,Value US$ per capita,Jan 1 1992,448.740574
8639,Value US$ per capita,Jan 1 1993,452.076964
8640,Value US$ per capita,Jan 1 1994,417.728497
8641,Value US$ per capita,Jan 1 1995,439.778938
8642,Value US$ per capita,Jan 1 1996,279.200032
8643,Value US$ per capita,Jan 1 1997,332.228106
8644,Value US$ per capita,Jan 1 1998,344.855698
8645,Value US$ per capita,Jan 1 1999,329.056828
8646,Value US$ per capita,Jan 1 2000,391.107418
8647,Value US$ per capita,Jan 1 2001,456.620422
8648,Value US$ per capita,Jan 1 2002,512.449458
8649,Value US$ per capita,Jan 1 2003,586.745276
8650,Value US$ per capita,Jan 1 2004,711.935758
8651,Value US$ per capita,Jan 1 2005,914.180732
8652,Value US$ per capita,Jan 1 2006,1143.913538
8653,Value US$ per capita,Jan 1 2007,1461.327413
