,symbol,date,price
8754,Value US$ per capita,Jan 1 1970,3946.502458
8755,Value US$ per capita,Jan 1 1971,4702.678412
8756,Value US$ per capita,Jan 1 1972,5723.253403
8757,Value US$ per capita,Jan 1 1973,7646.274829
8758,Value US$ per capita,Jan 1 1974,8770.961045
8759,Value US$ per capita,Jan 1 1975,10031.595228
8760,Value US$ per capita,Jan 1 1976,10494.39366
8761,Value US$ per capita,Jan 1 1977,11233.622092
8762,Value US$ per capita,Jan 1 1978,15759.465615
8763,Value US$ per capita,Jan 1 1979,17757.304258
8764,Value US$ per capita,Jan 1 1980,18938.721253
8765,Value US$ per capita,Jan 1 1981,17311.462456
8766,Value US$ per capita,Jan 1 1982,17672.146439
8767,Value US$ per capita,Jan 1 1983,17510.867441
8768,Value US$ per capita,Jan 1 1984,16617.230219
8769,Value US$ per capita,Jan 1 1985,16745.596812
8770,Value US$ per capita,Jan 1 1986,23865.26986
8771,Value US$ per capita,Jan 1 1987,29715.736612
8772,Value US$ per capita,Jan 1 1988,31950.380592
8773,Value US$ per capita,Jan 1 1989,30629.723047
8774,Value US$ per capita,Jan 1 1990,38791.434489
8775,Value US$ per capita,Jan 1 1991,38863.222085
8776,Value US$ per capita,Jan 1 1992,40013.923843
8777,Value US$ per capita,Jan 1 1993,38484.886004
8778,Value US$ per capita,Jan 1 1994,42177.970426
8779,Value US$ per capita,Jan 1 1995,50481.118286
8780,Value US$ per capita,Jan 1 1996,48375.517323
8781,Value US$ per capita,Jan 1 1997,41751.217494
8782,Value US$ per capita,Jan 1 1998,42849.608021
8783,Value US$ per capita,Jan 1 1999,41957.595297
8784,Value US$ per capita,Jan 1 2000,39171.818522
8785,Value US$ per capita,Jan 1 2001,40007.970034
8786,Value US$ per capita,Jan 1 2002,42958.183475
8787,Value US$ per capita,Jan 1 2003,49953.029224
8788,Value US$ per capita,Jan 1 2004,55372.370705
8789,Value US$ per capita,Jan 1 2005,56932.896173
8790,Value US$ per capita,Jan 1 2006,59505.104136
8791,Value US$ per capita,Jan 1 2007,65483.959565
8792,Value US$ per capita,Jan 1 2008,74816.063862
8793,Value US$ per capita,Jan 1 2009,72360.106268
8794,Value US$ per capita,Jan 1 2010,77277.450195
8795,Value US$ per capita,Jan 1 2011,91316.425024
8796,Value US$ per capita,Jan 1 2012,86427.154953
8797,Value US$ per capita,Jan 1 2013,87897.25585
8798,Value US$ per capita,Jan 1 2014,89495.053869
8799,Value US$ per capita,Jan 1 2015,84629.218072
8800,Value US$ per capita,Jan 1 2016,83008.059972
8801,Value US$ per capita,Jan 1 2017,83313.013992
8802,Value US$ per capita,Jan 1 2018,86315.12806
8803,Value US$ per capita,Jan 1 2019,85134.954826
