,symbol,date,price
8884,Value US$ per capita,Jan 1 1970,200.284496
8885,Value US$ per capita,Jan 1 1971,202.557417
8886,Value US$ per capita,Jan 1 1972,218.25494
8887,Value US$ per capita,Jan 1 1973,281.387641
8888,Value US$ per capita,Jan 1 1974,346.320519
8889,Value US$ per capita,Jan 1 1975,366.608289
8890,Value US$ per capita,Jan 1 1976,408.253967
8891,Value US$ per capita,Jan 1 1977,464.411946
8892,Value US$ per capita,Jan 1 1978,551.155223
8893,Value US$ per capita,Jan 1 1979,614.947438
8894,Value US$ per capita,Jan 1 1980,707.728074
8895,Value US$ per capita,Jan 1 1981,747.238829
8896,Value US$ per capita,Jan 1 1982,769.82282
8897,Value US$ per capita,Jan 1 1983,827.057465
8898,Value US$ per capita,Jan 1 1984,847.74236
8899,Value US$ per capita,Jan 1 1985,774.849342
8900,Value US$ per capita,Jan 1 1986,842.987964
8901,Value US$ per capita,Jan 1 1987,970.794157
8902,Value US$ per capita,Jan 1 1988,1164.229763
8903,Value US$ per capita,Jan 1 1989,1342.505286
8904,Value US$ per capita,Jan 1 1990,1564.059351
8905,Value US$ per capita,Jan 1 1991,1769.042796
8906,Value US$ per capita,Jan 1 1992,1999.225663
8907,Value US$ per capita,Jan 1 1993,2209.362064
8908,Value US$ per capita,Jan 1 1994,2491.432856
8909,Value US$ per capita,Jan 1 1995,2846.589514
8910,Value US$ per capita,Jan 1 1996,3043.982575
8911,Value US$ per capita,Jan 1 1997,2468.182262
8912,Value US$ per capita,Jan 1 1998,1845.829428
8913,Value US$ per capita,Jan 1 1999,2033.260319
8914,Value US$ per capita,Jan 1 2000,2007.735008
8915,Value US$ per capita,Jan 1 2001,1893.26406
8916,Value US$ per capita,Jan 1 2002,2096.188812
8917,Value US$ per capita,Jan 1 2003,2359.115919
8918,Value US$ per capita,Jan 1 2004,2660.125247
8919,Value US$ per capita,Jan 1 2005,2894.061242
8920,Value US$ per capita,Jan 1 2006,3369.546099
8921,Value US$ per capita,Jan 1 2007,3973.020101
8922,Value US$ per capita,Jan 1 2008,4379.65844
8923,Value US$ per capita,Jan 1 2009,4213.00821
8924,Value US$ per capita,Jan 1 2010,5076.337964
8925,Value US$ per capita,Jan 1 2011,5492.11525
8926,Value US$ per capita,Jan 1 2012,5860.584595
8927,Value US$ per capita,Jan 1 2013,6168.268616
8928,Value US$ per capita,Jan 1 2014,5951.877102
8929,Value US$ per capita,Jan 1 2015,5840.043681
8930,Value US$ per capita,Jan 1 2016,5978.616271
8931,Value US$ per capita,Jan 1 2017,6578.190858
8932,Value US$ per capita,Jan 1 2018,7273.56485
8933,Value US$ per capita,Jan 1 2019,7784.73908
