,symbol,date,price
9064,Value US$ per capita,Jan 1 1970,871.847026
9065,Value US$ per capita,Jan 1 1971,940.814873
9066,Value US$ per capita,Jan 1 1972,1122.326529
9067,Value US$ per capita,Jan 1 1973,1336.240042
9068,Value US$ per capita,Jan 1 1974,2054.84237
9069,Value US$ per capita,Jan 1 1975,2422.694646
9070,Value US$ per capita,Jan 1 1976,2445.940506
9071,Value US$ per capita,Jan 1 1977,3028.435083
9072,Value US$ per capita,Jan 1 1978,3390.487283
9073,Value US$ per capita,Jan 1 1979,4318.451704
9074,Value US$ per capita,Jan 1 1980,5764.119003
9075,Value US$ per capita,Jan 1 1981,6362.054671
9076,Value US$ per capita,Jan 1 1982,7287.633992
9077,Value US$ per capita,Jan 1 1983,6840.185527
9078,Value US$ per capita,Jan 1 1984,6733.709005
9079,Value US$ per capita,Jan 1 1985,6319.60827
9080,Value US$ per capita,Jan 1 1986,4062.369232
9081,Value US$ per capita,Jan 1 1987,4027.214517
9082,Value US$ per capita,Jan 1 1988,3744.538278
9083,Value US$ per capita,Jan 1 1989,3573.939872
9084,Value US$ per capita,Jan 1 1990,4161.4567
9085,Value US$ per capita,Jan 1 1991,4330.203744
9086,Value US$ per capita,Jan 1 1992,4410.305097
9087,Value US$ per capita,Jan 1 1993,3690.142324
9088,Value US$ per capita,Jan 1 1994,3969.947588
9089,Value US$ per capita,Jan 1 1995,4260.504289
9090,Value US$ per capita,Jan 1 1996,4592.359735
9091,Value US$ per capita,Jan 1 1997,4566.61506
9092,Value US$ per capita,Jan 1 1998,4803.007753
9093,Value US$ per capita,Jan 1 1999,5401.605334
9094,Value US$ per capita,Jan 1 2000,6452.501693
9095,Value US$ per capita,Jan 1 2001,6958.409514
9096,Value US$ per capita,Jan 1 2002,7072.04634
9097,Value US$ per capita,Jan 1 2003,8831.57354
9098,Value US$ per capita,Jan 1 2004,10321.491726
9099,Value US$ per capita,Jan 1 2005,12360.448711
9100,Value US$ per capita,Jan 1 2006,14140.202827
9101,Value US$ per capita,Jan 1 2007,16584.829998
9102,Value US$ per capita,Jan 1 2008,21259.944575
9103,Value US$ per capita,Jan 1 2009,14555.409408
9104,Value US$ per capita,Jan 1 2010,16701.767262
9105,Value US$ per capita,Jan 1 2011,19085.328958
9106,Value US$ per capita,Jan 1 2012,19157.382922
9107,Value US$ per capita,Jan 1 2013,20143.525527
9108,Value US$ per capita,Jan 1 2014,20270.835681
9109,Value US$ per capita,Jan 1 2015,18214.410488
9110,Value US$ per capita,Jan 1 2016,16250.713194
9111,Value US$ per capita,Jan 1 2017,16173.645063
9112,Value US$ per capita,Jan 1 2018,17038.054363
9113,Value US$ per capita,Jan 1 2019,16637.259813
