,symbol,date,price
9214,Value US$ per capita,Jan 1 1990,833.504239
9215,Value US$ per capita,Jan 1 1991,799.182659
9216,Value US$ per capita,Jan 1 1992,675.341595
9217,Value US$ per capita,Jan 1 1993,682.301773
9218,Value US$ per capita,Jan 1 1994,561.704829
9219,Value US$ per capita,Jan 1 1995,520.462553
9220,Value US$ per capita,Jan 1 1996,555.015107
9221,Value US$ per capita,Jan 1 1997,615.613518
9222,Value US$ per capita,Jan 1 1998,648.425488
9223,Value US$ per capita,Jan 1 1999,863.593034
9224,Value US$ per capita,Jan 1 2000,1092.152887
9225,Value US$ per capita,Jan 1 2001,1479.738351
9226,Value US$ per capita,Jan 1 2002,1887.196059
9227,Value US$ per capita,Jan 1 2003,2423.547547
9228,Value US$ per capita,Jan 1 2004,2586.721478
9229,Value US$ per capita,Jan 1 2005,2982.623937
9230,Value US$ per capita,Jan 1 2006,3370.572868
9231,Value US$ per capita,Jan 1 2007,3796.437559
9232,Value US$ per capita,Jan 1 2008,4381.997171
9233,Value US$ per capita,Jan 1 2009,4036.455999
9234,Value US$ per capita,Jan 1 2010,4439.200382
9235,Value US$ per capita,Jan 1 2011,5649.952278
9236,Value US$ per capita,Jan 1 2012,6675.198979
9237,Value US$ per capita,Jan 1 2013,7304.283049
9238,Value US$ per capita,Jan 1 2014,7962.239098
9239,Value US$ per capita,Jan 1 2015,6477.941234
9240,Value US$ per capita,Jan 1 2016,6387.68596
9241,Value US$ per capita,Jan 1 2017,6585.162962
9242,Value US$ per capita,Jan 1 2018,6964.613045
9243,Value US$ per capita,Jan 1 2019,8124.494047
