,symbol,date,price
9244,Value US$ per capita,Jan 1 1970,1673.532272
9245,Value US$ per capita,Jan 1 1971,1844.220566
9246,Value US$ per capita,Jan 1 1972,2014.776352
9247,Value US$ per capita,Jan 1 1973,2189.994985
9248,Value US$ per capita,Jan 1 1974,2383.049046
9249,Value US$ per capita,Jan 1 1975,2597.668229
9250,Value US$ per capita,Jan 1 1976,2847.904775
9251,Value US$ per capita,Jan 1 1977,3126.543484
9252,Value US$ per capita,Jan 1 1978,3432.89736
9253,Value US$ per capita,Jan 1 1979,3751.579272
9254,Value US$ per capita,Jan 1 1980,4079.029285
9255,Value US$ per capita,Jan 1 1981,4401.364177
9256,Value US$ per capita,Jan 1 1982,4717.102265
9257,Value US$ per capita,Jan 1 1983,5051.892025
9258,Value US$ per capita,Jan 1 1984,5423.591984
9259,Value US$ per capita,Jan 1 1985,5855.951354
9260,Value US$ per capita,Jan 1 1986,6348.232693
9261,Value US$ per capita,Jan 1 1987,6898.294386
9262,Value US$ per capita,Jan 1 1988,7526.757505
9263,Value US$ per capita,Jan 1 1989,8155.312175
9264,Value US$ per capita,Jan 1 1990,8745.00256
9265,Value US$ per capita,Jan 1 1991,9295.543439
9266,Value US$ per capita,Jan 1 1992,9785.827025
9267,Value US$ per capita,Jan 1 1993,10526.958626
9268,Value US$ per capita,Jan 1 1994,11160.44324
9269,Value US$ per capita,Jan 1 1995,11747.868833
9270,Value US$ per capita,Jan 1 1996,12644.243176
9271,Value US$ per capita,Jan 1 1997,13395.409632
9272,Value US$ per capita,Jan 1 1998,14543.776876
9273,Value US$ per capita,Jan 1 1999,15451.853291
9274,Value US$ per capita,Jan 1 2000,15842.260167
9275,Value US$ per capita,Jan 1 2001,16629.342326
9276,Value US$ per capita,Jan 1 2002,15784.60365
9277,Value US$ per capita,Jan 1 2003,16382.937108
9278,Value US$ per capita,Jan 1 2004,18187.221199
9279,Value US$ per capita,Jan 1 2005,20533.916182
9280,Value US$ per capita,Jan 1 2006,24561.650607
9281,Value US$ per capita,Jan 1 2007,25456.302254
9282,Value US$ per capita,Jan 1 2008,27648.344145
9283,Value US$ per capita,Jan 1 2009,22019.657638
9284,Value US$ per capita,Jan 1 2010,21028.408267
9285,Value US$ per capita,Jan 1 2011,21835.083261
9286,Value US$ per capita,Jan 1 2012,21009.885751
9287,Value US$ per capita,Jan 1 2013,21328.985632
9288,Value US$ per capita,Jan 1 2014,23797.675931
9289,Value US$ per capita,Jan 1 2015,26182.429616
9290,Value US$ per capita,Jan 1 2016,28240.652097
9291,Value US$ per capita,Jan 1 2017,27546.005658
9292,Value US$ per capita,Jan 1 2018,29554.75906
9293,Value US$ per capita,Jan 1 2019,31353.460239
