,symbol,date,price
9294,Value US$ per capita,Jan 1 1970,450.771462
9295,Value US$ per capita,Jan 1 1971,476.563729
9296,Value US$ per capita,Jan 1 1972,523.011421
9297,Value US$ per capita,Jan 1 1973,649.892308
9298,Value US$ per capita,Jan 1 1974,679.682015
9299,Value US$ per capita,Jan 1 1975,634.940819
9300,Value US$ per capita,Jan 1 1976,600.607623
9301,Value US$ per capita,Jan 1 1977,533.27186
9302,Value US$ per capita,Jan 1 1978,549.373306
9303,Value US$ per capita,Jan 1 1979,543.430678
9304,Value US$ per capita,Jan 1 1980,562.600642
9305,Value US$ per capita,Jan 1 1981,603.273781
9306,Value US$ per capita,Jan 1 1982,475.806496
9307,Value US$ per capita,Jan 1 1983,496.88366
9308,Value US$ per capita,Jan 1 1984,534.972862
9309,Value US$ per capita,Jan 1 1985,427.743145
9310,Value US$ per capita,Jan 1 1986,524.27979
9311,Value US$ per capita,Jan 1 1987,625.840308
9312,Value US$ per capita,Jan 1 1988,871.313991
9313,Value US$ per capita,Jan 1 1989,934.885513
9314,Value US$ per capita,Jan 1 1990,1070.234529
9315,Value US$ per capita,Jan 1 1991,1124.000821
9316,Value US$ per capita,Jan 1 1992,1175.272093
9317,Value US$ per capita,Jan 1 1993,1041.838581
9318,Value US$ per capita,Jan 1 1994,1235.219534
9319,Value US$ per capita,Jan 1 1995,1265.057418
9320,Value US$ per capita,Jan 1 1996,1340.040575
9321,Value US$ per capita,Jan 1 1997,1437.04352
9322,Value US$ per capita,Jan 1 1998,1391.058948
9323,Value US$ per capita,Jan 1 1999,1474.668419
9324,Value US$ per capita,Jan 1 2000,1472.6534
9325,Value US$ per capita,Jan 1 2001,1400.115444
9326,Value US$ per capita,Jan 1 2002,1618.808283
9327,Value US$ per capita,Jan 1 2003,1887.498704
9328,Value US$ per capita,Jan 1 2004,2191.504736
9329,Value US$ per capita,Jan 1 2005,2167.934793
9330,Value US$ per capita,Jan 1 2006,2262.169481
9331,Value US$ per capita,Jan 1 2007,2643.152633
9332,Value US$ per capita,Jan 1 2008,2909.191816
9333,Value US$ per capita,Jan 1 2009,2583.04894
9334,Value US$ per capita,Jan 1 2010,2981.547855
9335,Value US$ per capita,Jan 1 2011,3597.535385
9336,Value US$ per capita,Jan 1 2012,3464.119276
9337,Value US$ per capita,Jan 1 2013,3417.881509
9338,Value US$ per capita,Jan 1 2014,3352.419413
9339,Value US$ per capita,Jan 1 2015,3156.876302
9340,Value US$ per capita,Jan 1 2016,3522.984722
9341,Value US$ per capita,Jan 1 2017,3862.136931
9342,Value US$ per capita,Jan 1 2018,4000.620815
9343,Value US$ per capita,Jan 1 2019,4036.000516
