,symbol,date,price
9424,Value US$ per capita,Jan 1 1970,4550.972069
9425,Value US$ per capita,Jan 1 1971,5270.093879
9426,Value US$ per capita,Jan 1 1972,6651.912145
9427,Value US$ per capita,Jan 1 1973,10814.554121
9428,Value US$ per capita,Jan 1 1974,25176.885591
9429,Value US$ per capita,Jan 1 1975,27198.75692
9430,Value US$ per capita,Jan 1 1976,30512.029675
9431,Value US$ per capita,Jan 1 1977,34265.637243
9432,Value US$ per capita,Jan 1 1978,28828.48397
9433,Value US$ per capita,Jan 1 1979,33950.801027
9434,Value US$ per capita,Jan 1 1980,43323.70085
9435,Value US$ per capita,Jan 1 1981,45575.162513
9436,Value US$ per capita,Jan 1 1982,40549.239301
9437,Value US$ per capita,Jan 1 1983,35298.486027
9438,Value US$ per capita,Jan 1 1984,32732.025771
9439,Value US$ per capita,Jan 1 1985,30109.308636
9440,Value US$ per capita,Jan 1 1986,23774.633844
9441,Value US$ per capita,Jan 1 1987,24036.143674
9442,Value US$ per capita,Jan 1 1988,22586.469313
9443,Value US$ per capita,Jan 1 1989,24342.184318
9444,Value US$ per capita,Jan 1 1990,28091.80624
9445,Value US$ per capita,Jan 1 1991,26960.058688
9446,Value US$ per capita,Jan 1 1992,26766.158273
9447,Value US$ per capita,Jan 1 1993,25931.245056
9448,Value US$ per capita,Jan 1 1994,26185.723473
9449,Value US$ per capita,Jan 1 1995,27577.757092
9450,Value US$ per capita,Jan 1 1996,29353.671996
9451,Value US$ per capita,Jan 1 1997,29897.281419
9452,Value US$ per capita,Jan 1 1998,27251.152422
9453,Value US$ per capita,Jan 1 1999,28842.879525
9454,Value US$ per capita,Jan 1 2000,33726.512806
9455,Value US$ per capita,Jan 1 2001,31689.56981
9456,Value US$ per capita,Jan 1 2002,31980.005777
9457,Value US$ per capita,Jan 1 2003,33936.868736
9458,Value US$ per capita,Jan 1 2004,36808.032357
9459,Value US$ per capita,Jan 1 2005,39879.846416
9460,Value US$ per capita,Jan 1 2006,42455.037264
9461,Value US$ per capita,Jan 1 2007,42355.89416
9462,Value US$ per capita,Jan 1 2008,45080.46215
9463,Value US$ per capita,Jan 1 2009,32442.67885
9464,Value US$ per capita,Jan 1 2010,33893.316887
9465,Value US$ per capita,Jan 1 2011,39194.679647
9466,Value US$ per capita,Jan 1 2012,40976.505381
9467,Value US$ per capita,Jan 1 2013,42412.627269
9468,Value US$ per capita,Jan 1 2014,43751.850549
9469,Value US$ per capita,Jan 1 2015,38663.37156
9470,Value US$ per capita,Jan 1 2016,38141.856517
9471,Value US$ per capita,Jan 1 2017,40644.804043
9472,Value US$ per capita,Jan 1 2018,43839.356349
9473,Value US$ per capita,Jan 1 2019,43103.323058
