,symbol,date,price
0,Value US$,Jan 1 1970,922.944816
1,Value US$,Jan 1 1971,995.212558
2,Value US$,Jan 1 1972,1121.80357
3,Value US$,Jan 1 1973,1337.469372
4,Value US$,Jan 1 1974,1485.269006
5,Value US$,Jan 1 1975,1629.458706
6,Value US$,Jan 1 1976,1728.33279
7,Value US$,Jan 1 1977,1910.511059
8,Value US$,Jan 1 1978,2222.378029
9,Value US$,Jan 1 1979,2513.162573
10,Value US$,Jan 1 1980,2759.642346
11,Value US$,Jan 1 1981,2770.8056
12,Value US$,Jan 1 1982,2705.502136
13,Value US$,Jan 1 1983,2726.470613
14,Value US$,Jan 1 1984,2754.854043
15,Value US$,Jan 1 1985,2777.901735
16,Value US$,Jan 1 1986,3139.404184
17,Value US$,Jan 1 1987,3480.48364
18,Value US$,Jan 1 1988,3822.861345
19,Value US$,Jan 1 1989,3915.875609
20,Value US$,Jan 1 1990,4316.574657
21,Value US$,Jan 1 1991,4567.107731
22,Value US$,Jan 1 1992,4691.732376
23,Value US$,Jan 1 1993,4660.696972
24,Value US$,Jan 1 1994,4898.783129
25,Value US$,Jan 1 1995,5356.965307
26,Value US$,Jan 1 1996,5396.427172
27,Value US$,Jan 1 1997,5301.841207
28,Value US$,Jan 1 1998,5202.014245
29,Value US$,Jan 1 1999,5331.525778
30,Value US$,Jan 1 2000,5450.333797
31,Value US$,Jan 1 2001,5357.351331
32,Value US$,Jan 1 2002,5500.483884
33,Value US$,Jan 1 2003,6098.382865
34,Value US$,Jan 1 2004,6781.155573
35,Value US$,Jan 1 2005,7256.934712
36,Value US$,Jan 1 2006,7763.818851
37,Value US$,Jan 1 2007,8649.202662
38,Value US$,Jan 1 2008,9421.742162
39,Value US$,Jan 1 2009,8830.526693
40,Value US$,Jan 1 2010,9548.35116
41,Value US$,Jan 1 2011,10489.82079
42,Value US$,Jan 1 2012,10530.138557
43,Value US$,Jan 1 2013,10701.27424
44,Value US$,Jan 1 2014,10840.160945
45,Value US$,Jan 1 2015,10124.441085
46,Value US$,Jan 1 2016,10168.479504
47,Value US$,Jan 1 2017,10698.16659
48,Value US$,Jan 1 2018,11244.086634
49,Value US$,Jan 1 2019,11296.374078
