,symbol,date,price
9906,Value US$ per capita,Jan 1 1970,84.225366
9907,Value US$ per capita,Jan 1 1971,98.264434
9908,Value US$ per capita,Jan 1 1972,141.028004
9909,Value US$ per capita,Jan 1 1973,125.970096
9910,Value US$ per capita,Jan 1 1974,150.008491
9911,Value US$ per capita,Jan 1 1975,178.509643
9912,Value US$ per capita,Jan 1 1976,190.83579
9913,Value US$ per capita,Jan 1 1977,213.014226
9914,Value US$ per capita,Jan 1 1978,228.070083
9915,Value US$ per capita,Jan 1 1979,243.390964
9916,Value US$ per capita,Jan 1 1980,263.678879
9917,Value US$ per capita,Jan 1 1981,279.298102
9918,Value US$ per capita,Jan 1 1982,305.129408
9919,Value US$ per capita,Jan 1 1983,306.881959
9920,Value US$ per capita,Jan 1 1984,304.409053
9921,Value US$ per capita,Jan 1 1985,310.638224
9922,Value US$ per capita,Jan 1 1986,313.606114
9923,Value US$ per capita,Jan 1 1987,317.182764
9924,Value US$ per capita,Jan 1 1988,320.94101
