,symbol,date,price
9925,Value US$,Jan 1 1970,104.895633
9926,Value US$,Jan 1 1971,94.919556
9927,Value US$,Jan 1 1972,104.329767
9928,Value US$,Jan 1 1973,83.930862
9929,Value US$,Jan 1 1974,87.547862
9930,Value US$,Jan 1 1975,87.48706
9931,Value US$,Jan 1 1976,111.378722
9932,Value US$,Jan 1 1977,134.284652
9933,Value US$,Jan 1 1978,158.417884
9934,Value US$,Jan 1 1979,166.471117
9935,Value US$,Jan 1 1980,197.534305
9936,Value US$,Jan 1 1981,220.627354
9937,Value US$,Jan 1 1982,255.440699
9938,Value US$,Jan 1 1983,260.847118
9939,Value US$,Jan 1 1984,269.633284
9940,Value US$,Jan 1 1985,254.301812
9941,Value US$,Jan 1 1986,214.142423
9942,Value US$,Jan 1 1987,213.489893
9943,Value US$,Jan 1 1988,217.307156
