,symbol,date,price
9875,Value US$ per capita,Jan 1 1989,290.883197
9876,Value US$ per capita,Jan 1 1990,344.0411
9877,Value US$ per capita,Jan 1 1991,339.609422
9878,Value US$ per capita,Jan 1 1992,346.026308
9879,Value US$ per capita,Jan 1 1993,350.25222
9880,Value US$ per capita,Jan 1 1994,348.510672
9881,Value US$ per capita,Jan 1 1995,397.94061
9882,Value US$ per capita,Jan 1 1996,470.848363
9883,Value US$ per capita,Jan 1 1997,488.045233
9884,Value US$ per capita,Jan 1 1998,440.779588
9885,Value US$ per capita,Jan 1 1999,513.76766
9886,Value US$ per capita,Jan 1 2000,624.074783
9887,Value US$ per capita,Jan 1 2001,627.313987
9888,Value US$ per capita,Jan 1 2002,664.025885
9889,Value US$ per capita,Jan 1 2003,714.010562
9890,Value US$ per capita,Jan 1 2004,799.210563
9891,Value US$ per capita,Jan 1 2005,946.972481
9892,Value US$ per capita,Jan 1 2006,1102.710107
9893,Value US$ per capita,Jan 1 2007,1204.447631
9894,Value US$ per capita,Jan 1 2008,1388.498036
9895,Value US$ per capita,Jan 1 2009,1263.942155
9896,Value US$ per capita,Jan 1 2010,1334.784943
9897,Value US$ per capita,Jan 1 2011,1305.4182
9898,Value US$ per capita,Jan 1 2012,1310.609043
9899,Value US$ per capita,Jan 1 2013,1382.078841
9900,Value US$ per capita,Jan 1 2014,1286.585934
9901,Value US$ per capita,Jan 1 2015,1006.129065
9902,Value US$ per capita,Jan 1 2016,811.143811
9903,Value US$ per capita,Jan 1 2017,745.087909
9904,Value US$ per capita,Jan 1 2018,803.648363
9905,Value US$ per capita,Jan 1 2019,855.066811
