,symbol,date,price
9944,Value US$ per capita,Jan 1 1970,719.992673
9945,Value US$ per capita,Jan 1 1971,775.514207
9946,Value US$ per capita,Jan 1 1972,802.374364
9947,Value US$ per capita,Jan 1 1973,1036.285515
9948,Value US$ per capita,Jan 1 1974,1421.354253
9949,Value US$ per capita,Jan 1 1975,1578.482289
9950,Value US$ per capita,Jan 1 1976,1766.104438
9951,Value US$ per capita,Jan 1 1977,2128.616238
9952,Value US$ per capita,Jan 1 1978,2510.286378
9953,Value US$ per capita,Jan 1 1979,3123.117068
9954,Value US$ per capita,Jan 1 1980,3176.043604
9955,Value US$ per capita,Jan 1 1981,3102.800092
9956,Value US$ per capita,Jan 1 1982,2804.814747
9957,Value US$ per capita,Jan 1 1983,2851.244294
9958,Value US$ per capita,Jan 1 1984,3034.861825
9959,Value US$ per capita,Jan 1 1985,3202.461248
9960,Value US$ per capita,Jan 1 1986,3446.15415
9961,Value US$ per capita,Jan 1 1987,3648.720778
9962,Value US$ per capita,Jan 1 1988,3765.307713
9963,Value US$ per capita,Jan 1 1989,4037.965495
