,symbol,date,price
9964,Value US$,Jan 1 1970,369.506491
9965,Value US$,Jan 1 1971,364.455507
9966,Value US$,Jan 1 1972,414.593611
9967,Value US$,Jan 1 1973,508.672109
9968,Value US$,Jan 1 1974,605.715716
9969,Value US$,Jan 1 1975,537.753011
9970,Value US$,Jan 1 1976,550.322699
9971,Value US$,Jan 1 1977,523.385428
9972,Value US$,Jan 1 1978,566.56726
9973,Value US$,Jan 1 1979,676.649037
9974,Value US$,Jan 1 1980,737.355206
9975,Value US$,Jan 1 1981,663.233615
9976,Value US$,Jan 1 1982,682.33298
9977,Value US$,Jan 1 1983,615.913848
9978,Value US$,Jan 1 1984,476.615137
9979,Value US$,Jan 1 1985,400.432788
9980,Value US$,Jan 1 1986,294.587552
9981,Value US$,Jan 1 1987,285.980897
9982,Value US$,Jan 1 1988,456.792036
9983,Value US$,Jan 1 1989,505.836074
9984,Value US$,Jan 1 1990,472.176634
9985,Value US$,Jan 1 1991,409.475877
9986,Value US$,Jan 1 1992,391.334998
9987,Value US$,Jan 1 1993,378.156651
9988,Value US$,Jan 1 1994,412.285816
9989,Value US$,Jan 1 1995,418.50748
9990,Value US$,Jan 1 1996,385.15393
9991,Value US$,Jan 1 1997,448.373905
9992,Value US$,Jan 1 1998,358.560757
9993,Value US$,Jan 1 1999,335.70982
9994,Value US$,Jan 1 2000,345.684498
9995,Value US$,Jan 1 2001,382.938467
9996,Value US$,Jan 1 2002,382.241579
9997,Value US$,Jan 1 2003,435.460748
9998,Value US$,Jan 1 2004,538.594281
9999,Value US$,Jan 1 2005,702.740419
10000,Value US$,Jan 1 2006,1047.926445
10001,Value US$,Jan 1 2007,1124.284733
10002,Value US$,Jan 1 2008,1394.015172
10003,Value US$,Jan 1 2009,1159.904916
10004,Value US$,Jan 1 2010,1489.447621
10005,Value US$,Jan 1 2011,1746.219687
10006,Value US$,Jan 1 2012,1717.798091
10007,Value US$,Jan 1 2013,1781.071946
10008,Value US$,Jan 1 2014,1733.344794
10009,Value US$,Jan 1 2015,1313.589617
10010,Value US$,Jan 1 2016,1311.010428
10011,Value US$,Jan 1 2017,1534.874627
10012,Value US$,Jan 1 2018,1556.338275
10013,Value US$,Jan 1 2019,1292.482076
