,symbol,date,price
49254,Food price inflation,Jan 1 2001,4.706249
49255,Food price inflation,Jan 1 2002,10.150205
49256,Food price inflation,Jan 1 2003,9.071979
49257,Food price inflation,Jan 1 2004,5.500493
49258,Food price inflation,Jan 1 2005,6.930811
49259,Food price inflation,Jan 1 2006,7.389226
49260,Food price inflation,Jan 1 2007,6.745404
49261,Food price inflation,Jan 1 2008,11.073569
49262,Food price inflation,Jan 1 2009,15.446954
49263,Food price inflation,Jan 1 2010,9.867799
49264,Food price inflation,Jan 1 2011,9.84863
49265,Food price inflation,Jan 1 2012,10.429791
49266,Food price inflation,Jan 1 2013,7.061139
49267,Food price inflation,Jan 1 2014,7.597696
49268,Food price inflation,Jan 1 2015,5.918859
49269,Food price inflation,Jan 1 2016,8.946944
49270,Food price inflation,Jan 1 2017,17.36056
49271,Food price inflation,Jan 1 2018,11.748651
49272,Food price inflation,Jan 1 2019,8.460102
49273,Food price inflation,Jan 1 2020,8.390662
49274,Food price inflation,Jan 1 2021,11.014516
49275,Food price inflation,Feb 1 2001,5.067225
49276,Food price inflation,Feb 1 2002,10.240221
49277,Food price inflation,Feb 1 2003,8.806521
49278,Food price inflation,Feb 1 2004,5.990913
49279,Food price inflation,Feb 1 2005,6.90545
49280,Food price inflation,Feb 1 2006,6.619406
49281,Food price inflation,Feb 1 2007,7.821451
49282,Food price inflation,Feb 1 2008,10.904264
49283,Food price inflation,Feb 1 2009,15.413934
49284,Food price inflation,Feb 1 2010,9.544859
49285,Food price inflation,Feb 1 2011,9.203587
49286,Food price inflation,Feb 1 2012,10.633647
49287,Food price inflation,Feb 1 2013,7.441389
49288,Food price inflation,Feb 1 2014,7.140879
49289,Food price inflation,Feb 1 2015,6.656421
49290,Food price inflation,Feb 1 2016,9.148806
49291,Food price inflation,Feb 1 2017,18.106264
49292,Food price inflation,Feb 1 2018,10.44632
49293,Food price inflation,Feb 1 2019,9.130408
49294,Food price inflation,Feb 1 2020,7.873197
49295,Food price inflation,Feb 1 2021,11.491543
49296,Food price inflation,Mar 1 2001,5.725464
49297,Food price inflation,Mar 1 2002,9.648562
49298,Food price inflation,Mar 1 2003,8.506704
49299,Food price inflation,Mar 1 2004,6.389693
49300,Food price inflation,Mar 1 2005,7.396229
49301,Food price inflation,Mar 1 2006,6.401703
49302,Food price inflation,Mar 1 2007,7.490157
49303,Food price inflation,Mar 1 2008,12.779445
49304,Food price inflation,Mar 1 2009,13.800102
49305,Food price inflation,Mar 1 2010,8.885611
49306,Food price inflation,Mar 1 2011,10.146793
49307,Food price inflation,Mar 1 2012,10.528424
49308,Food price inflation,Mar 1 2013,6.709359
49309,Food price inflation,Mar 1 2014,7.412489
49310,Food price inflation,Mar 1 2015,6.945588
49311,Food price inflation,Mar 1 2016,9.866939
49312,Food price inflation,Mar 1 2017,18.099018
49313,Food price inflation,Mar 1 2018,9.541298
49314,Food price inflation,Mar 1 2019,9.258726
49315,Food price inflation,Mar 1 2020,7.844444
49316,Food price inflation,Mar 1 2021,12.248947
49317,Food price inflation,Apr 1 2001,6.078001
49318,Food price inflation,Apr 1 2002,9.836979
49319,Food price inflation,Apr 1 2003,8.041229
49320,Food price inflation,Apr 1 2004,6.675761
49321,Food price inflation,Apr 1 2005,7.306999
49322,Food price inflation,Apr 1 2006,6.505146
49323,Food price inflation,Apr 1 2007,7.514845
49324,Food price inflation,Apr 1 2008,13.478023
49325,Food price inflation,Apr 1 2009,13.587916
49326,Food price inflation,Apr 1 2010,8.383948
49327,Food price inflation,Apr 1 2011,10.677586
