,symbol,date,rate
1476,Food price inflation,Jan 1 2001,4.893517
1477,Food price inflation,Jan 1 2002,1.894317
1478,Food price inflation,Jan 1 2003,-1.174168
1479,Food price inflation,Jan 1 2004,1.089109
1480,Food price inflation,Jan 1 2005,4.031995
1481,Food price inflation,Jan 1 2006,3.448925
1482,Food price inflation,Jan 1 2007,7.480888
1483,Food price inflation,Jan 1 2008,7.685577
1484,Food price inflation,Jan 1 2009,13.818048
1485,Food price inflation,Jan 1 2010,1.853771
1486,Food price inflation,Jan 1 2011,3.0236
1487,Food price inflation,Jan 1 2012,5.144687
1488,Food price inflation,Jan 1 2013,1.114343
1489,Food price inflation,Jan 1 2014,3.20523
1490,Food price inflation,Jan 1 2015,0.461358
1491,Food price inflation,Jan 1 2016,-1.410998
1492,Food price inflation,Jan 1 2017,0.850411
1493,Food price inflation,Jan 1 2018,1.246779
1494,Food price inflation,Jan 1 2019,2.729028
1495,Food price inflation,Jan 1 2020,-0.549529
1496,Food price inflation,Jan 1 2021,0.635593
1497,Food price inflation,Feb 1 2001,4.790723
1498,Food price inflation,Feb 1 2002,1.39165
1499,Food price inflation,Feb 1 2003,-1.666667
1500,Food price inflation,Feb 1 2004,2.19342
1501,Food price inflation,Feb 1 2005,3.447154
1502,Food price inflation,Feb 1 2006,3.872996
1503,Food price inflation,Feb 1 2007,7.817323
1504,Food price inflation,Feb 1 2008,8.718596
1505,Food price inflation,Feb 1 2009,12.560998
1506,Food price inflation,Feb 1 2010,1.614827
1507,Food price inflation,Feb 1 2011,3.358912
1508,Food price inflation,Feb 1 2012,4.595499
1509,Food price inflation,Feb 1 2013,1.44184
1510,Food price inflation,Feb 1 2014,2.813536
1511,Food price inflation,Feb 1 2015,0.014627
1512,Food price inflation,Feb 1 2016,-1.006719
1513,Food price inflation,Feb 1 2017,1.04539
1514,Food price inflation,Feb 1 2018,1.213484
1515,Food price inflation,Feb 1 2019,2.851127
1516,Food price inflation,Feb 1 2020,-0.406573
1517,Food price inflation,Feb 1 2021,1.301779
1518,Food price inflation,Mar 1 2001,4.688739
1519,Food price inflation,Mar 1 2002,0.891972
1520,Food price inflation,Mar 1 2003,-2.1611
1521,Food price inflation,Mar 1 2004,3.313253
1522,Food price inflation,Mar 1 2005,2.866861
1523,Food price inflation,Mar 1 2006,4.298536
1524,Food price inflation,Mar 1 2007,8.152174
1525,Food price inflation,Mar 1 2008,9.740369
1526,Food price inflation,Mar 1 2009,11.340914
1527,Food price inflation,Mar 1 2010,1.37775
1528,Food price inflation,Mar 1 2011,3.693167
1529,Food price inflation,Mar 1 2012,4.05158
1530,Food price inflation,Mar 1 2013,1.769603
1531,Food price inflation,Mar 1 2014,2.424047
1532,Food price inflation,Mar 1 2015,-0.432976
1533,Food price inflation,Mar 1 2016,-0.598013
1534,Food price inflation,Mar 1 2017,1.240891
1535,Food price inflation,Mar 1 2018,1.180229
1536,Food price inflation,Mar 1 2019,2.973163
1537,Food price inflation,Mar 1 2020,-0.264032
1538,Food price inflation,Mar 1 2021,1.964133
1539,Food price inflation,Apr 1 2001,4.587557
1540,Food price inflation,Apr 1 2002,1.185771
1541,Food price inflation,Apr 1 2003,-3.027344
1542,Food price inflation,Apr 1 2004,3.994629
1543,Food price inflation,Apr 1 2005,2.653325
1544,Food price inflation,Apr 1 2006,4.744985
1545,Food price inflation,Apr 1 2007,8.117439
1546,Food price inflation,Apr 1 2008,11.564626
1547,Food price inflation,Apr 1 2009,8.904928
1548,Food price inflation,Apr 1 2010,1.52704
1549,Food price inflation,Apr 1 2011,3.680795
1550,Food price inflation,Apr 1 2012,4.507421
1551,Food price inflation,Apr 1 2013,1.334174
1552,Food price inflation,Apr 1 2014,2.632481
1553,Food price inflation,Apr 1 2015,-0.644401
1554,Food price inflation,Apr 1 2016,-0.717562
1555,Food price inflation,Apr 1 2017,1.307472
1556,Food price inflation,Apr 1 2018,0.543944
1557,Food price inflation,Apr 1 2019,3.413601
1558,Food price inflation,Apr 1 2020,0.477653
1559,Food price inflation,Apr 1 2021,1.572664
1560,Food price inflation,May 1 2001,4.487167
1561,Food price inflation,May 1 2002,1.477833
1562,Food price inflation,May 1 2003,-3.883495
1563,Food price inflation,May 1 2004,4.680135
1564,Food price inflation,May 1 2005,2.441299
1565,Food price inflation,May 1 2006,5.190116
1566,Food price inflation,May 1 2007,8.0831
1567,Food price inflation,May 1 2008,13.369235
1568,Food price inflation,May 1 2009,6.572312
1569,Food price inflation,May 1 2010,1.67639
1570,Food price inflation,May 1 2011,3.668456
1571,Food price inflation,May 1 2012,4.962219
1572,Food price inflation,May 1 2013,0.903512
1573,Food price inflation,May 1 2014,2.840403
1574,Food price inflation,May 1 2015,-0.854452
1575,Food price inflation,May 1 2016,-0.83684
1576,Food price inflation,May 1 2017,1.374062
1577,Food price inflation,May 1 2018,-0.091589
1578,Food price inflation,May 1 2019,3.85912
1579,Food price inflation,May 1 2020,1.221491
1580,Food price inflation,May 1 2021,1.18582
1581,Food price inflation,Jun 1 2001,4.387559
1582,Food price inflation,Jun 1 2002,1.768173
1583,Food price inflation,Jun 1 2003,-4.72973
1584,Food price inflation,Jun 1 2004,5.369807
1585,Food price inflation,Jun 1 2005,2.230769
1586,Food price inflation,Jun 1 2006,5.633935
1587,Food price inflation,Jun 1 2007,8.04915
1588,Food price inflation,Jun 1 2008,15.154512
1589,Food price inflation,Jun 1 2009,4.336625
1590,Food price inflation,Jun 1 2010,1.825802
1591,Food price inflation,Jun 1 2011,3.656147
1592,Food price inflation,Jun 1 2012,5.415977
1593,Food price inflation,Jun 1 2013,0.477537
1594,Food price inflation,Jun 1 2014,3.047815
1595,Food price inflation,Jun 1 2015,-1.063144
1596,Food price inflation,Jun 1 2016,-0.955847
1597,Food price inflation,Jun 1 2017,1.44066
1598,Food price inflation,Jun 1 2018,-0.726371
1599,Food price inflation,Jun 1 2019,4.309806
1600,Food price inflation,Jun 1 2020,1.967494
1601,Food price inflation,Jun 1 2021,0.803519
1602,Food price inflation,Jul 1 2001,4.152533
1603,Food price inflation,Jul 1 2002,1.209546
1604,Food price inflation,Jul 1 2003,-4.166667
1605,Food price inflation,Jul 1 2004,4.853387
1606,Food price inflation,Jul 1 2005,2.896175
1607,Food price inflation,Jul 1 2006,6.672706
1608,Food price inflation,Jul 1 2007,7.183647
1609,Food price inflation,Jul 1 2008,15.956284
1610,Food price inflation,Jul 1 2009,3.275212
1611,Food price inflation,Jul 1 2010,1.569473
1612,Food price inflation,Jul 1 2011,5.367261
1613,Food price inflation,Jul 1 2012,3.765689
1614,Food price inflation,Jul 1 2013,0.705097
1615,Food price inflation,Jul 1 2014,2.194029
1616,Food price inflation,Jul 1 2015,-0.443995
1617,Food price inflation,Jul 1 2016,-0.709698
1618,Food price inflation,Jul 1 2017,1.313149
1619,Food price inflation,Jul 1 2018,-0.341991
1620,Food price inflation,Jul 1 2019,3.774813
1621,Food price inflation,Jul 1 2020,1.431056
1622,Food price inflation,Aug 1 2001,3.919325
1623,Food price inflation,Aug 1 2002,0.652742
1624,Food price inflation,Aug 1 2003,-3.599222
1625,Food price inflation,Aug 1 2004,4.339051
1626,Food price inflation,Aug 1 2005,3.565442
1627,Food price inflation,Aug 1 2006,7.70404
1628,Food price inflation,Aug 1 2007,6.340857
1629,Food price inflation,Aug 1 2008,16.749558
1630,Food price inflation,Aug 1 2009,2.239397
1631,Food price inflation,Aug 1 2010,1.314194
1632,Food price inflation,Aug 1 2011,7.079968
1633,Food price inflation,Aug 1 2012,2.166681
1634,Food price inflation,Aug 1 2013,0.932598
1635,Food price inflation,Aug 1 2014,1.344311
1636,Food price inflation,Aug 1 2015,0.182562
1637,Food price inflation,Aug 1 2016,-0.463701
1638,Food price inflation,Aug 1 2017,1.186346
1639,Food price inflation,Aug 1 2018,0.041212
1640,Food price inflation,Aug 1 2019,3.24555
1641,Food price inflation,Aug 1 2020,0.894893
1642,Food price inflation,Sep 1 2001,3.687914
1643,Food price inflation,Sep 1 2002,0.097752
1644,Food price inflation,Sep 1 2003,-3.027344
1645,Food price inflation,Sep 1 2004,3.826788
1646,Food price inflation,Sep 1 2005,4.238603
1647,Food price inflation,Sep 1 2006,8.728017
1648,Food price inflation,Sep 1 2007,5.519897
1649,Food price inflation,Sep 1 2008,17.534469
1650,Food price inflation,Sep 1 2009,1.228264
1651,Food price inflation,Sep 1 2010,1.059959
1652,Food price inflation,Sep 1 2011,8.794269
1653,Food price inflation,Sep 1 2012,0.6166
1654,Food price inflation,Sep 1 2013,1.16004
1655,Food price inflation,Sep 1 2014,0.498633
1656,Food price inflation,Sep 1 2015,0.816661
1657,Food price inflation,Sep 1 2016,-0.217857
1658,Food price inflation,Sep 1 2017,1.060247
1659,Food price inflation,Sep 1 2018,0.423243
1660,Food price inflation,Sep 1 2019,2.721925
1661,Food price inflation,Sep 1 2020,0.359005
1662,Food price inflation,Oct 1 2001,3.323655
1663,Food price inflation,Oct 1 2002,-0.162866
1664,Food price inflation,Oct 1 2003,-2.022838
1665,Food price inflation,Oct 1 2004,4.095904
1666,Food price inflation,Oct 1 2005,3.825976
1667,Food price inflation,Oct 1 2006,8.19263
1668,Food price inflation,Oct 1 2007,5.894917
1669,Food price inflation,Oct 1 2008,16.719107
1670,Food price inflation,Oct 1 2009,1.516059
1671,Food price inflation,Oct 1 2010,1.603612
1672,Food price inflation,Oct 1 2011,7.749216
1673,Food price inflation,Oct 1 2012,0.673078
1674,Food price inflation,Oct 1 2013,1.968858
1675,Food price inflation,Oct 1 2014,0.636288
1676,Food price inflation,Oct 1 2015,-0.07097
1677,Food price inflation,Oct 1 2016,0.072188
1678,Food price inflation,Oct 1 2017,1.133653
1679,Food price inflation,Oct 1 2018,1.153338
1680,Food price inflation,Oct 1 2019,1.563769
1681,Food price inflation,Oct 1 2020,0.228526
1682,Food price inflation,Nov 1 2001,2.962181
1683,Food price inflation,Nov 1 2002,-0.423315
1684,Food price inflation,Nov 1 2003,-1.013734
1685,Food price inflation,Nov 1 2004,4.360753
1686,Food price inflation,Nov 1 2005,3.421969
1687,Food price inflation,Nov 1 2006,7.664289
1688,Food price inflation,Nov 1 2007,6.268657
1689,Food price inflation,Nov 1 2008,15.912253
1690,Food price inflation,Nov 1 2009,1.804838
1691,Food price inflation,Nov 1 2010,2.146033
1692,Food price inflation,Nov 1 2011,6.717619
1693,Food price inflation,Nov 1 2012,0.729915
1694,Food price inflation,Nov 1 2013,2.781884
1695,Food price inflation,Nov 1 2014,0.772476
1696,Food price inflation,Nov 1 2015,-0.946752
1697,Food price inflation,Nov 1 2016,0.363456
1698,Food price inflation,Nov 1 2017,1.206942
1699,Food price inflation,Nov 1 2018,1.881208
1700,Food price inflation,Nov 1 2019,0.425667
1701,Food price inflation,Nov 1 2020,0.097374
1702,Food price inflation,Dec 1 2001,2.4
1703,Food price inflation,Dec 1 2002,-0.683594
1704,Food price inflation,Dec 1 2003,0.0
1705,Food price inflation,Dec 1 2004,4.621436
1706,Food price inflation,Dec 1 2005,3.026316
1707,Food price inflation,Dec 1 2006,7.142857
1708,Food price inflation,Dec 1 2007,6.641124
1709,Food price inflation,Dec 1 2008,15.113772
1710,Food price inflation,Dec 1 2009,2.094604
1711,Food price inflation,Dec 1 2010,2.687225
1712,Food price inflation,Dec 1 2011,5.699219
1713,Food price inflation,Dec 1 2012,0.787112
1714,Food price inflation,Dec 1 2013,3.599149
1715,Food price inflation,Dec 1 2014,0.907219
1716,Food price inflation,Dec 1 2015,-1.810921
1717,Food price inflation,Dec 1 2016,0.655954
1718,Food price inflation,Dec 1 2017,1.280114
1719,Food price inflation,Dec 1 2018,2.606864
1720,Food price inflation,Dec 1 2019,-0.6929
1721,Food price inflation,Dec 1 2020,-0.034456
