,symbol,date,price
5412,Food price inflation,Jan 1 2001,1.002911
5413,Food price inflation,Jan 1 2002,1.562094
5414,Food price inflation,Jan 1 2003,1.905797
5415,Food price inflation,Jan 1 2004,2.165158
5416,Food price inflation,Jan 1 2005,3.840347
5417,Food price inflation,Jan 1 2006,3.889666
5418,Food price inflation,Jan 1 2007,5.259944
5419,Food price inflation,Jan 1 2008,9.312645
5420,Food price inflation,Jan 1 2009,10.800987
5421,Food price inflation,Jan 1 2010,12.15459
5422,Food price inflation,Jan 1 2011,10.322815
5423,Food price inflation,Jan 1 2012,8.888588
5424,Food price inflation,Jan 1 2013,12.400087
5425,Food price inflation,Jan 1 2014,12.788137
5426,Food price inflation,Jan 1 2015,5.322218
5427,Food price inflation,Jan 1 2016,3.233888
5428,Food price inflation,Jan 1 2017,6.735595
5429,Food price inflation,Jan 1 2018,6.763529
5430,Food price inflation,Jan 1 2019,3.725648
5431,Food price inflation,Jan 1 2020,4.157339
5432,Food price inflation,Jan 1 2021,16.483215
5433,Food price inflation,Feb 1 2001,1.050458
5434,Food price inflation,Feb 1 2002,1.602283
5435,Food price inflation,Feb 1 2003,1.813248
5436,Food price inflation,Feb 1 2004,2.242418
5437,Food price inflation,Feb 1 2005,4.945595
5438,Food price inflation,Feb 1 2006,2.931969
5439,Food price inflation,Feb 1 2007,5.366819
5440,Food price inflation,Feb 1 2008,10.094473
5441,Food price inflation,Feb 1 2009,9.65177
5442,Food price inflation,Feb 1 2010,12.815604
5443,Food price inflation,Feb 1 2011,10.661858
5444,Food price inflation,Feb 1 2012,9.586704
5445,Food price inflation,Feb 1 2013,11.319528
5446,Food price inflation,Feb 1 2014,12.298008
5447,Food price inflation,Feb 1 2015,5.153414
5448,Food price inflation,Feb 1 2016,2.824946
5449,Food price inflation,Feb 1 2017,8.353215
5450,Food price inflation,Feb 1 2018,5.952596
5451,Food price inflation,Feb 1 2019,3.214293
5452,Food price inflation,Feb 1 2020,4.641318
5453,Food price inflation,Feb 1 2021,16.562061
5454,Food price inflation,Mar 1 2001,1.097929
5455,Food price inflation,Mar 1 2002,1.642371
5456,Food price inflation,Mar 1 2003,1.721006
5457,Food price inflation,Mar 1 2004,2.319562
5458,Food price inflation,Mar 1 2005,6.047516
5459,Food price inflation,Mar 1 2006,1.997028
5460,Food price inflation,Mar 1 2007,5.47309
5461,Food price inflation,Mar 1 2008,10.870316
5462,Food price inflation,Mar 1 2009,8.527373
5463,Food price inflation,Mar 1 2010,13.47589
5464,Food price inflation,Mar 1 2011,10.996585
5465,Food price inflation,Mar 1 2012,10.271748
5466,Food price inflation,Mar 1 2013,10.03488
5467,Food price inflation,Mar 1 2014,11.845973
5468,Food price inflation,Mar 1 2015,5.095101
5469,Food price inflation,Mar 1 2016,2.880839
5470,Food price inflation,Mar 1 2017,6.708641
5471,Food price inflation,Mar 1 2018,7.996161
5472,Food price inflation,Mar 1 2019,2.945131
5473,Food price inflation,Mar 1 2020,6.768299
5474,Food price inflation,Mar 1 2021,14.698825
5475,Food price inflation,Apr 1 2001,1.145325
5476,Food price inflation,Apr 1 2002,1.682358
5477,Food price inflation,Apr 1 2003,1.629069
5478,Food price inflation,Apr 1 2004,1.978358
5479,Food price inflation,Apr 1 2005,6.101827
5480,Food price inflation,Apr 1 2006,3.549378
5481,Food price inflation,Apr 1 2007,6.864419
5482,Food price inflation,Apr 1 2008,11.439466
5483,Food price inflation,Apr 1 2009,7.862426
5484,Food price inflation,Apr 1 2010,11.371323
5485,Food price inflation,Apr 1 2011,10.937042
5486,Food price inflation,Apr 1 2012,12.994638
5487,Food price inflation,Apr 1 2013,8.530492
5488,Food price inflation,Apr 1 2014,11.18112
5489,Food price inflation,Apr 1 2015,4.081013
5490,Food price inflation,Apr 1 2016,2.934883
5491,Food price inflation,Apr 1 2017,8.940904
5492,Food price inflation,Apr 1 2018,5.459759
5493,Food price inflation,Apr 1 2019,3.623129
5494,Food price inflation,Apr 1 2020,9.494735
5495,Food price inflation,Apr 1 2021,12.486765
5496,Food price inflation,May 1 2001,1.192646
5497,Food price inflation,May 1 2002,1.722244
5498,Food price inflation,May 1 2003,1.537435
5499,Food price inflation,May 1 2004,1.637666
5500,Food price inflation,May 1 2005,6.156421
5501,Food price inflation,May 1 2006,5.108195
5502,Food price inflation,May 1 2007,8.220191
5503,Food price inflation,May 1 2008,11.979992
5504,Food price inflation,May 1 2009,7.237179
5505,Food price inflation,May 1 2010,9.368598
