,symbol,date,price
6150,Food price inflation,Jan 1 2001,4.53889
6151,Food price inflation,Jan 1 2002,3.184001
6152,Food price inflation,Jan 1 2003,9.518648
6153,Food price inflation,Jan 1 2004,10.810339
6154,Food price inflation,Jan 1 2005,4.799054
6155,Food price inflation,Jan 1 2006,5.97597
6156,Food price inflation,Jan 1 2007,12.420743
6157,Food price inflation,Jan 1 2008,12.090729
6158,Food price inflation,Jan 1 2009,19.913641
6159,Food price inflation,Jan 1 2010,16.505795
6160,Food price inflation,Jan 1 2011,4.700337
6161,Food price inflation,Jan 1 2012,8.91433
6162,Food price inflation,Jan 1 2013,7.487894
6163,Food price inflation,Jan 1 2014,3.614987
6164,Food price inflation,Jan 1 2015,2.290562
6165,Food price inflation,Jan 1 2016,1.17147
6166,Food price inflation,Jan 1 2017,4.416436
6167,Food price inflation,Jan 1 2018,0.392542
6168,Food price inflation,Jan 1 2019,0.007429
6169,Food price inflation,Jan 1 2020,3.286853
6170,Food price inflation,Jan 1 2021,3.375121
6171,Food price inflation,Feb 1 2001,4.356761
6172,Food price inflation,Feb 1 2002,3.754759
6173,Food price inflation,Feb 1 2003,9.705175
6174,Food price inflation,Feb 1 2004,10.207612
6175,Food price inflation,Feb 1 2005,4.850863
6176,Food price inflation,Feb 1 2006,6.598956
6177,Food price inflation,Feb 1 2007,12.304966
6178,Food price inflation,Feb 1 2008,12.9008
6179,Food price inflation,Feb 1 2009,19.588575
6180,Food price inflation,Feb 1 2010,14.915494
6181,Food price inflation,Feb 1 2011,5.292929
6182,Food price inflation,Feb 1 2012,8.928115
6183,Food price inflation,Feb 1 2013,7.327384
6184,Food price inflation,Feb 1 2014,3.544858
6185,Food price inflation,Feb 1 2015,2.134404
6186,Food price inflation,Feb 1 2016,1.572522
6187,Food price inflation,Feb 1 2017,4.196374
6188,Food price inflation,Feb 1 2018,0.391007
6189,Food price inflation,Feb 1 2019,-0.183642
6190,Food price inflation,Feb 1 2020,3.578529
6191,Food price inflation,Feb 1 2021,3.646833
6192,Food price inflation,Mar 1 2001,4.176049
6193,Food price inflation,Mar 1 2002,4.32305
6194,Food price inflation,Mar 1 2003,9.888868
6195,Food price inflation,Mar 1 2004,9.616044
6196,Food price inflation,Mar 1 2005,4.902267
6197,Food price inflation,Mar 1 2006,7.216463
6198,Food price inflation,Mar 1 2007,12.191536
6199,Food price inflation,Mar 1 2008,13.696079
6200,Food price inflation,Mar 1 2009,19.27395
6201,Food price inflation,Mar 1 2010,14.345202
6202,Food price inflation,Mar 1 2011,5.314461
6203,Food price inflation,Mar 1 2012,8.786611
6204,Food price inflation,Mar 1 2013,7.156177
6205,Food price inflation,Mar 1 2014,3.208614
6206,Food price inflation,Mar 1 2015,1.865318
6207,Food price inflation,Mar 1 2016,1.882888
6208,Food price inflation,Mar 1 2017,4.386677
6209,Food price inflation,Mar 1 2018,0.0
6210,Food price inflation,Mar 1 2019,0.115759
6211,Food price inflation,Mar 1 2020,3.366337
6212,Food price inflation,Mar 1 2021,4.022989
6213,Food price inflation,Apr 1 2001,3.996737
6214,Food price inflation,Apr 1 2002,4.888889
6215,Food price inflation,Apr 1 2003,10.069791
6216,Food price inflation,Apr 1 2004,9.035326
6217,Food price inflation,Apr 1 2005,4.953271
6218,Food price inflation,Apr 1 2006,7.828562
6219,Food price inflation,Apr 1 2007,12.080381
6220,Food price inflation,Apr 1 2008,14.476965
6221,Food price inflation,Apr 1 2009,18.969273
6222,Food price inflation,Apr 1 2010,14.302294
6223,Food price inflation,Apr 1 2011,6.484777
6224,Food price inflation,Apr 1 2012,7.661839
6225,Food price inflation,Apr 1 2013,6.047367
6226,Food price inflation,Apr 1 2014,3.241544
6227,Food price inflation,Apr 1 2015,1.501628
6228,Food price inflation,Apr 1 2016,2.679495
6229,Food price inflation,Apr 1 2017,3.879093
6230,Food price inflation,Apr 1 2018,-0.193986
6231,Food price inflation,Apr 1 2019,0.414577
6232,Food price inflation,Apr 1 2020,3.155819
6233,Food price inflation,Apr 1 2021,6.787763
6234,Food price inflation,May 1 2001,3.81881
6235,Food price inflation,May 1 2002,5.452292
6236,Food price inflation,May 1 2003,10.248005
6237,Food price inflation,May 1 2004,8.465163
6238,Food price inflation,May 1 2005,5.003879
6239,Food price inflation,May 1 2006,8.435326
6240,Food price inflation,May 1 2007,11.971433
6241,Food price inflation,May 1 2008,15.243848
6242,Food price inflation,May 1 2009,18.674078
6243,Food price inflation,May 1 2010,13.978019
6244,Food price inflation,May 1 2011,6.274459
6245,Food price inflation,May 1 2012,7.610163
6246,Food price inflation,May 1 2013,5.543515
6247,Food price inflation,May 1 2014,3.188155
6248,Food price inflation,May 1 2015,1.288228
6249,Food price inflation,May 1 2016,2.719471
6250,Food price inflation,May 1 2017,4.086974
6251,Food price inflation,May 1 2018,-0.483559
6252,Food price inflation,May 1 2019,1.008746
6253,Food price inflation,May 1 2020,3.137255
6254,Food price inflation,May 1 2021,6.749049
6255,Food price inflation,Jun 1 2001,3.64225
6256,Food price inflation,Jun 1 2002,6.013276
6257,Food price inflation,Jun 1 2003,10.423573
6258,Food price inflation,Jun 1 2004,7.90527
6259,Food price inflation,Jun 1 2005,5.054096
6260,Food price inflation,Jun 1 2006,9.036822
6261,Food price inflation,Jun 1 2007,11.864628
6262,Food price inflation,Jun 1 2008,15.997099
