,symbol,date,rate
7626,Food price inflation,Jan 1 2001,3.059814
7627,Food price inflation,Jan 1 2002,-8.01009
7628,Food price inflation,Jan 1 2003,13.873516
7629,Food price inflation,Jan 1 2004,2.428992
7630,Food price inflation,Jan 1 2005,27.507151
7631,Food price inflation,Jan 1 2006,-6.375241
7632,Food price inflation,Jan 1 2007,17.777369
7633,Food price inflation,Jan 1 2008,11.810898
7634,Food price inflation,Jan 1 2009,36.640324
7635,Food price inflation,Jan 1 2010,0.115589
7636,Food price inflation,Jan 1 2011,5.150757
7637,Food price inflation,Jan 1 2012,18.336397
7638,Food price inflation,Jan 1 2013,6.552762
7639,Food price inflation,Jan 1 2014,7.65654
7640,Food price inflation,Jan 1 2015,-1.213955
7641,Food price inflation,Jan 1 2016,9.552046
7642,Food price inflation,Jan 1 2017,20.128122
7643,Food price inflation,Jan 1 2018,3.428337
7644,Food price inflation,Jan 1 2019,-10.824742
7645,Food price inflation,Jan 1 2020,8.574181
7646,Food price inflation,Jan 1 2021,9.937888
7647,Food price inflation,Feb 1 2001,5.841877
7648,Food price inflation,Feb 1 2002,-7.506644
7649,Food price inflation,Feb 1 2003,6.248537
7650,Food price inflation,Feb 1 2004,10.881223
7651,Food price inflation,Feb 1 2005,24.22231
7652,Food price inflation,Feb 1 2006,-0.861336
7653,Food price inflation,Feb 1 2007,10.19158
7654,Food price inflation,Feb 1 2008,20.62054
7655,Food price inflation,Feb 1 2009,27.584928
7656,Food price inflation,Feb 1 2010,3.814433
7657,Food price inflation,Feb 1 2011,3.633936
7658,Food price inflation,Feb 1 2012,15.846504
7659,Food price inflation,Feb 1 2013,10.725835
7660,Food price inflation,Feb 1 2014,6.415093
7661,Food price inflation,Feb 1 2015,-2.850378
7662,Food price inflation,Feb 1 2016,10.921655
7663,Food price inflation,Feb 1 2017,33.493061
7664,Food price inflation,Feb 1 2018,-8.63671
7665,Food price inflation,Feb 1 2019,-10.614035
7666,Food price inflation,Feb 1 2020,12.855741
7667,Food price inflation,Feb 1 2021,8.434783
7668,Food price inflation,Mar 1 2001,9.979198
7669,Food price inflation,Mar 1 2002,-11.885986
7670,Food price inflation,Mar 1 2003,9.79569
7671,Food price inflation,Mar 1 2004,17.156524
7672,Food price inflation,Mar 1 2005,17.815065
7673,Food price inflation,Mar 1 2006,1.868627
7674,Food price inflation,Mar 1 2007,4.213364
7675,Food price inflation,Mar 1 2008,25.417501
7676,Food price inflation,Mar 1 2009,22.305337
7677,Food price inflation,Mar 1 2010,5.613909
7678,Food price inflation,Mar 1 2011,4.606596
7679,Food price inflation,Mar 1 2012,20.426655
7680,Food price inflation,Mar 1 2013,8.819716
7681,Food price inflation,Mar 1 2014,1.181455
7682,Food price inflation,Mar 1 2015,2.250217
7683,Food price inflation,Mar 1 2016,6.410725
7684,Food price inflation,Mar 1 2017,34.266102
7685,Food price inflation,Mar 1 2018,-10.820296
7686,Food price inflation,Mar 1 2019,-7.671722
7687,Food price inflation,Mar 1 2020,11.884058
7688,Food price inflation,Mar 1 2021,10.017271
7689,Food price inflation,Apr 1 2001,8.011169
7690,Food price inflation,Apr 1 2002,-13.245291
7691,Food price inflation,Apr 1 2003,13.77146
7692,Food price inflation,Apr 1 2004,7.631648
7693,Food price inflation,Apr 1 2005,26.536815
7694,Food price inflation,Apr 1 2006,-0.578197
7695,Food price inflation,Apr 1 2007,3.851426
7696,Food price inflation,Apr 1 2008,34.582656
7697,Food price inflation,Apr 1 2009,16.663314
7698,Food price inflation,Apr 1 2010,5.101701
7699,Food price inflation,Apr 1 2011,6.323654
7700,Food price inflation,Apr 1 2012,21.740277
7701,Food price inflation,Apr 1 2013,4.1068
7702,Food price inflation,Apr 1 2014,1.749429
7703,Food price inflation,Apr 1 2015,8.557721
7704,Food price inflation,Apr 1 2016,2.505649
7705,Food price inflation,Apr 1 2017,29.979746
7706,Food price inflation,Apr 1 2018,-9.596925
7707,Food price inflation,Apr 1 2019,-5.950266
7708,Food price inflation,Apr 1 2020,12.370161
